# halo-id  m200  ra  dec  z  vdisp
36  274260000206519.062  0.236551455  0.825828716  0.122183   764.74
37  271790000222308.719  0.576087808  0.670408891  0.098489   743.70
38  304739999851073.000  0.899914452  0.306350662  0.127248   661.54
39  289650000109995.312  0.043839355  0.667546551  0.016704   872.42
40  284239999685014.250  0.900685887  0.051356662  0.142447   692.25
41  276410000029623.156  0.458340915  0.813147153  0.127518   643.83
42  277320000302204.969  0.743267661  0.435777298  0.083855   654.58
43  263049999919335.031  1.000900947  0.175016381  0.108585   804.12
44  276969999991224.438  0.414452865  0.582564724  0.130849   717.59
45  277170000109194.125  0.171634457  0.099743123  0.147325   669.64
46  265329999986004.375  0.598949875  0.443146078  0.116484   785.45
47  271379999919039.531  0.820439139  0.731757214  0.108640  1002.04
48  262589999886840.312  0.327339992  0.133780709  0.101849   922.58
49  268409999961087.062  0.778093960  1.007337722  0.066321   626.61
50  264140000301196.469  0.121945980  0.341351495  0.085550   766.54
51  262409999851944.500  0.857143413  0.362480451  0.051210   668.56
52  261860000276358.594  0.454319676  0.404876244  0.143901   678.41
53  263600000047359.531  0.408904464  0.489685283  0.137033   644.54
54  203150000157904.938  0.098756489  0.725528134  0.136582   891.48
55  243850000040660.156  0.990350432  0.875710226  0.136770   559.00
56  228789999839855.156  0.604953808  0.081848088  0.073756   694.67
57  253110000100902.594  0.670194215  0.580831612  0.141217   750.08
58  240289999770003.219  0.069729918  0.627131707  0.145775   657.19
59  249449999841930.344  0.038899375  0.406666952  0.130689   737.25
60  249449999841930.344  0.987591067  0.147810887  0.131372   588.59
61  215389999870201.562  0.295019985  0.378980794  0.127071   626.20
62  239019999965834.375  0.739965498  0.254203715  0.075785   671.54
63  189479999975602.781  0.540722201  0.265797937  0.146028   875.05
64  196829999783831.969  0.605109142  0.465205295  0.117802   565.92
65  230400000132005.938  0.123540339  0.153810456  0.116526   698.61
66  251640000282196.438  0.531864655  0.956958793  0.138856   582.12
67  221589999751138.844  0.209622770  0.536835353  0.072421   579.50
68  237620000248823.438  0.931876666  0.738129411  0.127815   568.49
69  225250000180958.938  0.011678207  0.023134514  0.134869   727.32
70  223099999854190.406  0.156813470  0.552098257  0.061892   694.03
71  228969999926590.688  0.492387053  0.129970655  0.101970   668.76
72  194170000172730.625  0.739433172  0.706793770  0.143919   565.46
73  221629999767137.031  0.173940910  0.093270046  0.132739   631.66
74  208890000050387.312  0.610477775  0.955932539  0.129988   637.24
75  205549999944922.938  0.680669682  0.383415675  0.111835   627.66
76  224629999943228.406  0.932754567  0.615062755  0.115809   504.71
77  201640000108591.812  0.974649450  0.470833982  0.048022   493.81
78  218100000211573.750  0.911402209  0.845416546  0.090652   597.76
79  202569999955013.000  0.153334505  0.726695759  0.091988   662.28
80  192069999833271.906  0.569410178  0.450404903  0.060377   761.87
81  204470000005740.844  0.578178712  0.986632881  0.091388   609.60
82  198119999858390.406  0.224217213  0.166532510  0.100431   612.47
83  188680000185222.469  0.297730481  0.588533750  0.130571   592.31
84  195370000223629.125  0.697047851  0.763845092  0.107426   662.05
85  209290000006181.312  0.279175886  0.567921412  0.117084   585.06
86  201020000161079.375  0.002401835  0.000702073  0.098807   671.57
87  190460000002585.844  0.285176328  0.382171256  0.126083   538.14
88  200929999887405.250  0.261385745  0.492718665  0.145440   591.60
89  219170000186131.719  0.097109421  0.229229799  0.102831   518.33
90  190930000194662.844  0.062894336  0.527482133  0.146978   657.98
91  204780000159241.844  0.483150770  0.440273266  0.034417   704.35
92  201100000186728.750  0.217351088  0.708950997  0.122081   567.02
93  203060000071014.344  1.018912745  0.341539991  0.074943   670.64
94  206570000231060.688  0.066098411  0.574927164  0.122241   677.67
95  211919999858893.469  0.514552734  0.798200153  0.108856   545.77
96  196890000010615.062  1.014046767  0.774941896  0.029262   702.45
97  187969999817043.750  0.820227954  0.142123383  0.125809   523.80
98  189490000093911.781  0.625501569  0.965622607  0.091012   572.42
99  184979999953082.438  0.008880776  0.590286061  0.114630   719.63
100  191549999859259.594  0.797280365  0.144234009  0.124749   623.96
101  182479999887143.844  0.665839619  0.885627186  0.090043   588.31
102  182479999887143.844  0.084110384  0.026610861  0.092935   588.24
103  168119999870937.375  0.834811925  0.293815708  0.086768   579.14
104  181499999844478.969  0.980147237  0.888798450  0.136760   548.13
105  160690000091593.750  0.843156344  0.305542575  0.138349   554.50
106  186860000210126.062  0.836265784  0.336181830  0.136842   698.31
107  183039999952403.531  0.980393329  0.202765371  0.070675   714.30
108  160419999998500.562  0.101099070  0.337766589  0.084754   459.93
109  160620000158818.844  0.513334494  0.949333449  0.071451   611.58
110  182590000159185.281  0.622414082  0.590326204  0.052711   689.15
111  190319999987199.438  0.612381929  0.875256440  0.083914   601.07
112  165020000083921.688  0.717937697  0.523062960  0.148054   546.74
113  191370000057230.125  0.037033269  0.014520773  0.087357   671.92
114  191229999984867.656  0.067308099  0.474644035  0.145615   664.45
115  150250000112514.938  1.026679461  0.425989492  0.147388   536.46
116  183699999870647.688  0.257839236  0.102109964  0.139524   456.42
117  179470000077619.188  0.394109308  0.674438856  0.145671   718.35
118  172709999930487.094  0.145440555  0.750299592  0.103717   541.55
119  183849999913267.656  0.296487807  0.167071468  0.101710   568.48
120  168920000096121.594  0.763852074  0.053550018  0.116170   480.70
121  166470000178688.594  0.465173879  0.778713552  0.113644   708.27
122  139429999881794.719  0.724929486  0.743724937  0.078373   635.72
123  164509999862145.281  0.074884573  0.266366914  0.105771   528.50
124  172920000055099.875  0.631362385  0.275158138  0.120067   591.82
125  154060000168434.469  0.197710898  0.360555353  0.078334   547.06
126  184780000096487.031  0.763042241  0.728561516  0.110875   500.21
127  172990000129077.438  1.027129755  0.659799034  0.127480   501.25
128  147490000128250.906  0.229137296  1.004114099  0.139478   645.29
129  158269999868945.062  0.430187009  0.314178464  0.132389   514.04
130  165850000055181.500  0.890618828  0.377568822  0.125859   693.99
131  173279999887785.500  0.880673942  0.875622959  0.084106   604.60
132  150879999863378.375  0.544094177  0.785548262  0.147433   570.88
133  152940000051798.469  0.490797058  0.913810763  0.088345   453.40
134  151370000025382.281  0.006447892  0.649396872  0.133340   598.14
135  151280000056784.531  0.757825452  0.110578651  0.131017   576.65
136  172250000166714.125  0.153130127  0.718347850  0.117952   553.47
137  168329999836001.312  0.905462853  0.226213870  0.120331   536.04
138  162990000092554.969  0.195899246  0.382129368  0.078160   703.68
139  164740000133650.281  0.093618588  0.453335311  0.115662   515.22
140  152780000108470.469  0.807356151  0.127030648  0.118071   680.67
141  150949999875179.969  0.116712261  0.580599484  0.124450   496.22
142  159569999985213.719  0.719262402  0.846196708  0.081164   455.36
143  154570000026505.250  0.990008348  1.040073117  0.092805   574.55
144  167910000144446.812  1.016193522  0.018485655  0.134613   671.69
145  149740000071709.188  0.838410794  0.009818123  0.135240   587.95
146  147029999921357.625  0.745550551  0.154112398  0.116206   506.09
147  153429999985616.281  0.228325718  0.692258668  0.144603   710.24
148  148679999854950.938  1.024138261  0.821725446  0.133477   585.65
149  155850000138928.875  0.421325972  0.518856716  0.136352   685.51
150  145800000006057.500  0.194614684  0.555910056  0.126464   575.19
151  144940000005920.406  0.710123858  1.039661219  0.136947   456.15
152  146340000101972.844  0.285801156  0.074183125  0.130019   406.69
153  127629999930356.578  0.981857660  1.022827519  0.128096   494.09
154  143140000040235.250  0.121640722  0.080493712  0.058765   549.82
155  146670000005573.125  0.012738373  0.656386916  0.148933   587.43
156  140270000003311.656  0.271756491  0.462217291  0.078650   621.92
157  150130000138574.188  0.103442000  0.458166382  0.098991   532.36
158  141030000029903.125  0.249500053  0.293241494  0.111882   555.53
159  144109999940980.969  1.013690720  0.808740197  0.130573   573.77
160  143129999908186.062  0.546802928  0.235115049  0.108162   498.93
161  122029999923689.688  0.422252742  0.264525592  0.140169   521.54
162  137280000156585.906  0.041340043  0.387920370  0.125919   490.06
163  137280000156585.906  1.013692466  0.126908649  0.129009   548.26
164  140939999947670.094  0.983077645  0.758560235  0.135938   462.56
165  144860000045130.719  0.882298843  0.564383630  0.127356   443.88
166  147830000033046.969  0.610195032  0.484693641  0.053978   662.75
167  134300000102445.344  0.346770742  0.721508641  0.106552   561.62
168  150229999915160.625  0.884347860  0.188500795  0.082666   705.79
169  138959999859520.672  0.624534657  0.717719531  0.122855   487.66
170  116450000034670.031  0.551846930  0.360274355  0.115225   454.79
171  135909999852190.141  0.646312875  0.657076321  0.100878   431.97
172  138689999949624.891  0.306249433  0.807951308  0.123567   445.70
173  120759999902384.016  0.726515990  0.045479615  0.125452   548.51
174  145840000118567.250  0.624761550  0.375762407  0.114877   708.47
175  121970000051349.469  0.757392610  0.529642851  0.139124   636.06
176  93388000077607.578  0.380761030  0.298864945  0.140547   605.63
177  124850000089875.188  0.718497948  0.511892852  0.133424   596.72
178  138990000024701.375  0.275077853  0.991568672  0.138913   497.17
179  116589999919280.719  0.712281085  0.279893216  0.057690   539.09
180  130370000142214.031  0.243099930  0.578054794  0.125852   482.81
181  135300000125356.516  0.433435066  0.536463598  0.092606   577.59
182  134450000136426.562  0.637177822  0.095552588  0.102632   540.62
183  134280000131104.781  0.909061722  0.008895367  0.144639   527.54
184  130630000045356.938  0.642551691  0.249854354  0.124557   515.31
185  131879999856938.922  0.203034152  0.780205809  0.105022   467.91
186  134539999892570.172  0.528819055  0.053713555  0.084030   455.51
187  137719999989650.500  0.226735723  0.380460833  0.137139   723.00
188  138440000120466.047  0.158511326  0.964198419  0.118916   602.12
189  123139999927565.844  0.838815710  0.514537026  0.146958   541.88
190  135759999903213.078  0.169866264  0.917069293  0.142750   534.20
191  99486000072140.219  0.739942808  0.250355264  0.129577   494.20
192  130790000067182.766  0.572324878  0.881499483  0.078355   512.00
193  131730000053368.969  0.552496192  0.477878131  0.074334   439.84
194  130579999919286.359  0.130719750  0.986863264  0.144423   486.33
195  125919999995653.703  0.520771342  0.548951428  0.116635   521.40
196  138650000027493.688  0.871675024  0.390013020  0.125099   822.44
197  129109999962875.203  0.274592651  0.311794344  0.128038   494.10
198  134759999904093.062  0.038235102  0.620129446  0.123925   510.74
199  135050000148183.688  0.808810010  0.041089414  0.127681   551.63
200  140420000097433.172  0.140366185  0.765557260  0.103970   476.34
201  132429999984498.047  0.331193679  0.420502177  0.084707   698.84
202  137569999911572.016  0.871617428  0.389960660  0.125312   667.91
203  130879999901380.016  0.982412675  0.474815078  0.146357   491.44
204  123280000082217.297  0.178688554  0.483936168  0.125576   609.07
205  119099999867604.234  0.198937864  0.823753519  0.147245   579.40
206  126140000099536.453  0.187628131  0.143143004  0.080282   702.58
207  135090000098730.922  0.172038675  0.114877048  0.079051   569.86
208  131879999856938.922  0.751385187  0.244391474  0.101408   568.48
209  130399999881127.766  0.738722823  0.070510953  0.116514   368.60
210  125990000019234.859  0.586271804  0.523766327  0.073288   545.64
211  134580000010346.297  0.437086295  0.388779072  0.143221   533.62
212  121020000112464.328  0.335874652  0.405530742  0.087066   475.89
213  117000000068384.672  0.571228811  0.463393643  0.075514   472.04
214  96070000065995.109  0.796004529  0.997434724  0.115543   449.33
215  124030000085769.672  1.006836812  0.057696222  0.146568   500.46
216  123600000070353.672  0.654917349  0.466095413  0.080836   501.23
217  133950000017202.078  0.624965753  0.259588056  0.120460   364.36
218  131370000026683.062  0.522710403  0.364621970  0.134474   463.32
219  130690000011033.109  1.033419922  0.154720471  0.105381   581.30
220  127659999972431.828  0.289771780  0.207877441  0.142294   585.32
221  131319999982673.062  1.040636859  0.669555425  0.127939   457.08
222  128390000042018.047  0.054476787  0.735350847  0.133320   656.92
223  128010000124098.953  0.094546580  0.990963043  0.119339   443.02
224  122440000021060.859  0.427883174  0.274599633  0.138508   517.85
225  127869999947942.969  0.405689567  0.323549137  0.135135   509.48
226  96951000008175.266  0.273831688  0.552075568  0.116378   522.93
227  126150000042526.875  0.544818489  0.239151995  0.142093   637.40
228  124189999976210.141  0.368229566  0.519525177  0.091791   469.93
229  123109999912092.625  0.760965299  0.521537542  0.137178   495.28
230  127260000029242.609  0.050468464  0.068458446  0.145736   656.65
231  120169999952307.625  0.790018050  0.527005658  0.137714   439.56
232  122980000082507.750  0.759699935  0.999178307  0.138379   435.50
233  117069999904479.734  0.129475505  0.256086925  0.117067   578.94
234  120999999911832.922  0.801561658  0.113943820  0.115881   562.28
235  118960000133150.750  0.104181845  0.111695836  0.148032   597.64
236  131799999921704.938  0.749636367  0.213136118  0.144752   518.00
237  125210000130649.531  0.076491149  0.577342699  0.120946   464.27
238  128349999997794.422  0.567483334  0.017478949  0.082583   481.98
239  123800000090050.703  0.057657475  0.105564320  0.116662   497.87
240  128560000072439.688  0.468591234  0.520366426  0.122078   576.10
241  118049999887263.875  0.870584194  0.320320278  0.075470   615.19
242  122980000082507.750  0.515212469  0.453897307  0.074201   430.15
243  121619999978534.406  0.208200326  0.388829687  0.128993   491.20
244  122980000082507.750  0.311515092  0.212823704  0.094100   370.47
245  129719999999720.672  0.230132134  0.357977502  0.104821   583.85
246  111579999980897.750  0.544661409  1.046070068  0.133918   463.97
247  121109999963754.094  0.512299514  0.541088720  0.136556   544.75
248  127770000060778.812  0.788148802  0.120445346  0.113462   587.75
249  124890000113176.062  0.084124870  0.417971449  0.127142   550.74
250  113850000012802.891  0.728215941  0.655638169  0.106233   601.25
251  126880000007733.781  1.043904115  1.008945170  0.123822   612.82
252  111149999991039.844  1.009231404  0.112477220  0.134031   574.74
253  86619000084770.641  0.919825168  0.289860792  0.072915   640.25
254  86241000060431.547  0.063498743  0.101395601  0.143541   438.05
255  128949999859273.906  0.562430606  0.661893430  0.119097   508.31
256  110730000021590.375  0.397198541  0.262576059  0.137106   547.44
257  98565999909840.922  0.472219773  0.325662730  0.120293   486.96
258  118019999917664.719  0.723351708  0.106892166  0.006699   535.73
259  113339999920278.312  0.628964303  0.482353155  0.080690   432.01
260  123880000089923.359  0.492793714  0.939601493  0.088898   563.56
261  130269999956499.016  0.378993011  0.770957309  0.127115   566.77
262  107550000068477.766  0.597068410  0.494764191  0.053805   585.59
263  117440000115738.984  0.520759125  0.117620356  0.130600   616.66
264  116690000042382.375  0.926029813  0.807679037  0.090178   714.10
265  123240000100765.906  0.007860212  0.007336474  0.146667   572.41
266  122070000120034.406  0.474556769  0.413742516  0.143075   475.68
267  123139999927565.844  0.120322475  0.276851107  0.122171   566.37
268  127390000113642.922  0.202219083  0.024267931  0.135894   449.93
269  106029999900575.062  0.559372789  0.118994803  0.064989   456.94
270  100430000071103.266  0.110159597  0.097574726  0.146945   419.82
271  113929999900404.531  1.025469947  0.175236293  0.107174   638.51
272  118720000017781.719  0.583784710  0.628032297  0.064821   616.32
273  108209999990525.625  0.103504831  0.677665970  0.082077   493.14
274  106239999994143.266  0.140160935  0.509110797  0.015521   494.81
275  113320000039556.750  0.248899659  0.722932829  0.121585   545.09
276  125820000043750.172  0.116793943  0.321772392  0.147951   498.66
277  114639999897240.406  0.220609617  0.380504466  0.138184   653.61
278  110930000002819.594  0.593890166  1.029267784  0.070408   668.06
279  109119999921506.141  0.664359580  0.024663422  0.080389   387.68
280  120909999953052.672  0.608420032  0.611919417  0.102365   532.59
281  110519999937785.906  0.510304603  0.513653890  0.134898   646.85
282  110469999997842.094  0.080472419  0.649402108  0.117117   398.20
283  109920000072013.141  0.777254457  0.729336442  0.134052   480.39
284  109810000115162.516  0.387428187  0.051072348  0.050333   545.29
285  118599999992286.812  0.960541954  1.042986072  0.083186   540.91
286  103320000118646.984  0.814208313  0.216022892  0.052487   610.33
287  111100000015127.031  0.207774466  0.690691362  0.090488   518.20
288  107750000041490.688  0.896495352  0.999888656  0.083144   389.97
289  94192999960958.625  0.033172077  0.104385874  0.142203   474.20
290  96885000089495.141  0.774077958  0.603908356  0.139436   496.66
291  96615999934945.656  0.086360637  0.204093567  0.102582   385.44
292  120299999905862.469  0.314918484  0.851643880  0.125440   590.75
293  95655999947917.672  0.519111534  0.822763917  0.108112   394.22
294  111210000064215.594  0.821145997  0.283603786  0.053390   533.48
295  104139999918549.453  0.368496601  0.043964669  0.078922   595.31
296  118150000008600.078  0.470998043  0.323955798  0.106171   510.37
297  104420000030127.219  0.913065508  0.248753052  0.119581   579.61
298  106460000040021.297  0.715537869  0.634121750  0.116277   542.32
299  106460000040021.297  0.743138506  0.542587958  0.138381   529.21
300  106460000040021.297  0.072923870  0.610755282  0.117020   545.54
301  79671999933425.047  0.152582094  0.240441794  0.114153   413.01
302  104489999957198.016  0.353671774  0.279615709  0.101066   572.32
303  106580000023339.969  0.429551709  0.945978927  0.077033   425.02
304  112750000116827.688  0.076842309  0.575740487  0.143055   552.93
305  110100000007161.562  0.066790609  0.575417601  0.108487   523.80
306  112750000116827.688  0.746676289  0.070137801  0.146134   602.09
307  97620999971989.031  0.500242780  0.974574401  0.141892   395.73
308  114910000092972.938  0.277357253  0.546028002  0.115989   532.08
309  105069999937695.828  0.072450712  0.730629731  0.133902   623.01
310  116469999873620.672  0.948771453  0.429768130  0.136690   564.46
311  112320000055415.984  0.004545274  0.267803320  0.114646   491.54
312  102590000043469.484  0.198318272  0.183458539  0.113985   626.29
313  98233999889855.234  0.202245263  0.676219092  0.146697   482.63
314  115790000018471.891  0.764480392  0.565177754  0.125697   457.78
315  113020000009920.547  1.031468644  0.120005698  0.143144   527.36
316  99992999925816.875  0.027937485  0.841969520  0.141035   462.72
317  99992999925816.875  0.737387646  0.351095668  0.142709   565.14
318  114340000032053.172  0.788726506  0.707521572  0.144381   520.99
319  109199999907288.734  0.930361720  0.776910627  0.094367   503.80
320  111090000059061.609  0.151906826  0.222962321  0.099288   478.24
321  98127000107290.031  0.152522753  0.419482904  0.130648   537.72
322  103479999989395.344  0.940790063  0.735781943  0.029539   616.80
323  100630000071869.312  0.463592611  0.963411275  0.146563   502.49
324  103950000079587.922  0.255305018  0.522050669  0.126141   502.60
325  105610000091911.359  1.043853500  0.342184017  0.141653   605.67
326  98267999963528.656  0.374760588  0.039517919  0.079060   445.83
327  106529999994780.781  0.576885423  0.444486491  0.103406   529.84
328  98753000033084.250  0.291860939  0.727210631  0.124799   498.94
329  96977999929643.406  0.482868027  0.760480098  0.138005   486.73
330  105179999884371.156  0.734902297  0.360665309  0.084457   525.78
331  102979999883522.672  0.544930190  0.247314900  0.143909   609.74
332  109830000100855.344  0.579561013  0.758485186  0.106798   588.81
333  80057000068853.875  0.092559872  0.249419767  0.103629   400.16
334  83454999908736.359  0.485044452  0.423381970  0.133240   471.92
335  89053999947758.156  0.359605894  0.545771438  0.097525   445.98
336  109969999986268.203  0.608029078  0.037485484  0.135109   549.47
337  97947000087612.828  0.364463145  0.553518955  0.096630   577.89
338  109300000012658.641  0.596495942  0.707760682  0.146818   448.49
339  90708999959755.234  0.099591803  0.972989642  0.124430   421.20
340  89304000054874.250  0.693089445  0.553147200  0.140326   553.18
341  102419999882467.312  0.302732595  0.123937925  0.103246   556.96
342  110600000007976.453  0.607219245  0.448750331  0.116066   689.70
343  93838999988926.125  0.416493155  0.976820640  0.125202   479.64
344  102240000043711.000  0.809576210  0.752385261  0.111093   522.68
345  103490000012819.031  0.123683630  0.154034382  0.095178   505.77
346  103459999982594.547  0.600861011  0.797392066  0.099294   560.67
347  99632999921692.984  0.445793743  0.295477261  0.086053   475.96
348  102900000056288.141  0.076412609  0.002969294  0.125427   583.34
349  103829999996703.141  0.926939130  0.868158186  0.089520   514.92
350  105329999955128.609  0.249486090  0.692080644  0.148075   511.19
351  75994000083844.250  0.496439707  0.778767658  0.109787   358.85
352  98873000068487.500  0.113522847  0.556592480  0.086008   428.67
353  106369999940917.422  0.645281386  1.016874201  0.085527   508.49
354  102960000024577.281  0.892926153  0.225604750  0.123315   562.88
355  93158999994678.922  0.565669937  0.991226587  0.137489   343.99
356  101789999914502.812  0.880269026  1.004655151  0.071849   323.28
357  78976000057989.750  0.095448915  0.996378799  0.143789   447.18
358  78976000057989.750  0.977691559  0.471816602  0.144823   357.76
359  97098000109006.594  0.255959516  0.476199124  0.125322   486.97
360  100070000049583.547  0.411299056  0.421376587  0.136736   507.64
361  96063999949753.641  1.002827791  0.296573328  0.124274   554.61
362  101750000024071.438  0.199559201  0.694538068  0.121294   501.06
363  90780999913647.750  0.715571031  0.030003083  0.127574   663.22
364  93424000019960.125  0.609969884  0.865686800  0.089161   356.98
365  93424000019960.125  0.068903330  0.064747876  0.091048   460.12
366  97411999979856.203  0.962163365  0.766960505  0.093988   364.07
367  89236000037816.828  0.467217659  0.326013542  0.121101   442.59
368  98533999912386.344  0.309628391  0.720992023  0.123682   382.16
369  89099999992434.828  0.771432039  0.610250882  0.139751   379.57
370  96898999967772.547  0.059044314  0.233366229  0.137585   416.21
371  95476000044295.641  0.236495604  0.616375243  0.119306   481.75
372  102230000048363.609  0.008476157  0.265415710  0.115876   644.10
373  92821000011357.625  0.400978924  0.376752008  0.133413   404.61
374  99479000016085.297  0.880330112  0.383675729  0.126721   556.80
375  92561000010582.484  0.831766326  0.288351082  0.137744   483.16
376  100560000074581.156  0.694984872  0.373650558  0.135026   489.24
377  95910999974882.438  0.261321168  0.570836112  0.117480   597.51
378  98893000052501.906  0.960323788  0.592158799  0.145507   468.89
379  100560000074581.156  0.844669545  0.450237351  0.130273   472.70
380  75853999943044.656  0.219829455  1.005478946  0.139325   506.79
381  93675000050508.125  0.504827759  0.941968160  0.062310   554.50
382  91748000018747.703  0.096113886  0.965964692  0.123995   514.52
383  91902999927779.312  0.702231479  0.553915145  0.140995   485.69
384  83715999939253.266  0.250042850  0.107386967  0.141686   701.23
385  93430000032775.031  0.867166839  0.476323042  0.080847   410.64
386  95273999979252.734  0.616471236  0.508395212  0.131561   546.02
387  101400000000626.406  0.504628792  0.348421824  0.113082   433.81
388  99115999998580.891  0.917742990  0.988324105  0.092279   573.28
389  92942000056058.469  0.553723158  0.473167487  0.144130   378.37
390  92358999994179.312  0.023548157  0.846660965  0.140750   489.33
391  92358999994179.312  0.742264096  0.348385172  0.142824   512.65
392  99198999962644.250  0.770676311  0.554056516  0.134298   561.17
393  86170000010798.906  0.114625022  0.978229120  0.129966   454.60
394  73921999924269.797  1.022803084  0.427745293  0.148464   537.10
395  86170000010798.906  0.512709666  0.374802476  0.129940   602.15
396  92063999955433.875  0.604639649  0.382410366  0.104485   603.59
397  92788999936794.078  0.395968083  0.716743892  0.129498   376.22
398  84497000012261.766  0.357809950  0.538720308  0.102419   408.17
399  92285000094470.688  0.192422550  0.031338085  0.147121   550.24
400  91619999907162.844  0.831562122  0.793304505  0.138376   502.02
401  89817000001917.156  0.823369547  0.321720032  0.087735   555.36
402  92531000064909.234  0.509486043  1.003644605  0.124852   597.67
403  80083000011098.203  0.182409596  0.114258678  0.143224   482.67
404  94725000011553.078  0.895446409  0.362326862  0.125311   439.31
405  82681999950818.812  0.938985392  0.855850124  0.091580   506.52
406  88574000030500.906  0.477895584  0.359073568  0.127390   448.74
407  85766999925172.703  0.391660611  0.327418532  0.134723   429.48
408  86547999919185.484  0.058604840  0.402113388  0.127308   475.52
409  84729000049089.391  0.865402311  0.785008955  0.129751   571.06
410  85676999966827.109  0.028401219  0.720934427  0.088109   534.03
411  92481999966652.578  0.366817594  0.439665892  0.128493   468.35
412  71764999968893.547  0.503335503  0.114122542  0.087643   591.55
413  81508000041095.938  0.223555733  0.691365059  0.123017   541.28
414  88401000036885.000  0.131079986  0.626878634  0.125259   440.47
415  81184000085683.312  0.504661953  0.453696594  0.134973   419.87
416  84119999997233.469  0.231743073  0.154019721  0.103357   494.33
417  85320000043732.938  1.011725479  0.116053749  0.130839   563.32
418  85719000017952.219  0.789517140  0.364080918  0.053759   468.89
419  91156999999595.938  0.528529331  0.062003694  0.094662   497.12
420  91437000074350.578  0.772580465  0.178119577  0.117086   572.52
421  88218000078014.828  0.681343379  0.861140217  0.080586   344.81
422  91548000012016.344  0.966570321  0.990975260  0.128575   528.35
423  87873000091867.125  0.502372081  0.989392246  0.084789   542.22
424  91473999905695.766  0.388733694  0.278163595  0.144309   472.58
425  73471000002480.547  0.381014102  0.629407616  0.117874   389.01
426  92108999931369.500  0.976337184  0.422895023  0.086469   521.59
427  84290000031685.078  0.718267564  0.782973901  0.109879   445.39
428  83723000042473.859  0.022351734  0.183612128  0.081232   531.56
429  88704999953293.422  0.761387669  0.270995528  0.104813   538.24
430  86256999919867.406  0.888955529  0.559322175  0.113182   445.14
431  86702000062325.188  0.173063183  0.323669564  0.121949   351.07
432  90424000084779.859  0.969308743  0.371161719  0.052883   481.81
433  73184000012359.578  0.815728495  0.103711478  0.117163   407.60
434  82443000030359.031  0.449965080  0.272119520  0.141328   488.64
435  88077000067859.547  0.121761150  0.309837830  0.113271   583.36
436  87056000087832.938  0.438459869  0.266452436  0.138576   552.14
437  91378999984649.438  0.781924958  0.973537675  0.119264   524.83
438  85904000075330.172  0.612216123  0.539489998  0.143142   605.63
439  85311000057597.812  0.938477501  0.246267703  0.127961   531.79
440  85167000092080.594  0.037157187  0.969413462  0.146030   518.28
441  88545999992354.109  0.485826360  0.767585333  0.121568   565.02
442  84790999953950.906  0.956983227  0.514633019  0.144072   608.27
443  85684000091459.078  0.452272405  0.678508964  0.091335   398.96
444  82136999907993.188  0.099890604  0.540554649  0.077217   570.38
445  88711000023769.312  1.007514000  0.137180261  0.103447   477.23
446  68142999922251.336  0.157026051  0.156056521  0.085131   463.99
447  79776000032388.672  0.859914996  0.048358361  0.133968   498.80
448  85270000003278.766  0.877305456  0.521401406  0.111383   368.55
449  81771000020525.609  0.138119597  0.088156755  0.079242   628.95
450  70345000004390.031  0.970869067  0.188944109  0.108709   434.99
