# halo-id  ra  dec  vres  m200  vdisp200  r200  Ngal  M200err(stat)  M200err(syst)  N200
 103  0.835  0.294  25923  3.4e+14   688  1.4   176  0.14  0.01    67
 104  0.980  0.889  41415  2.6e+14   628  1.2   329  0.13  0.01    70
 105  0.843  0.306  41791  3.3e+14   686  1.3   360  0.12  0.01    62
 106  0.836  0.336  41427  2.1e+14   586  1.1   268  0.17  0.01    56
 107  0.980  0.203  21420  1.5e+14   515  1.0   127  0.36  0.01    60
 108  0.101  0.338  25768  3.8e+14   709  1.4   173  0.16  0.01    79
 109  0.513  0.949  21321  2.0e+14   573  1.2   148  0.35  0.01    62
 110  0.622  0.590  15701  6.5e+14   851  1.7    89  0.19  0.01    64
 111  0.612  0.875  26428  1.4e+15  1107  2.2   343  0.07  0.00   192
 112  0.718  0.523  43855  7.5e+13   417  0.8   287  0.10  0.01    46
 113  0.037  0.015  26732  2.7e+14   638  1.3   169  0.13  0.01    49
 114  0.067  0.475  43953  1.8e+14   562  1.1   288  0.12  0.01    78
 115  1.027  0.426  44051  1.5e+14   526  1.0   357  0.10  0.01    62
 116  0.258  0.102  42512  2.4e+14   616  1.2   397  0.08  0.01    56
 117  0.394  0.674  43602  1.3e+14   494  1.0   240  0.11  0.01    49
 118  0.145  0.750  31067  3.7e+14   710  1.4   347  0.14  0.01    62
 119  0.296  0.167  30561  1.8e+14   552  1.1   250  0.15  0.01    55
 120  0.764  0.054  35244  3.8e+14   712  1.4   270  0.16  0.01    53
 121  0.465  0.779  33432  4.3e+14   744  1.5   161  0.18  0.01    77
 122  0.725  0.744  23589  1.9e+14   568  1.1   203  0.08  0.01    71
 123  0.075  0.266  31289  2.9e+14   653  1.3   176  0.14  0.01    56
 124  0.631  0.275  36021  2.6e+14   628  1.2   270  0.22  0.01    53
 125  0.198  0.361  28147     -1      -1   -1   109    -1    -1    -1
 126  0.763  0.729  33320  1.6e+14   534  1.1   233  0.14  0.01    57
 127  1.027  0.660  38263  4.0e+14   727  1.4   245  0.14  0.01    60
 128  0.229  1.004  42033  3.2e+14   680  1.3   294  0.11  0.01    62
 129  0.430  0.314  40033  1.8e+14   552  1.1   433  0.26  0.01    51
 130  0.891  0.378  37893  1.3e+14   504  1.0   344  0.15  0.01    45
 131  0.881  0.876  25181  3.1e+14   663  1.3   132  0.31  0.01    53
 132  0.544  0.786  39618  2.7e+13   295  0.6   133  0.76  0.01     0
 133  0.491  0.914  26500  3.8e+14   712  1.4   125  0.18  0.01    63
 134  0.006  0.649  40232  2.8e+14   647  1.3   319  0.20  0.01    72
 135  0.758  0.111  39155  3.1e+14   670  1.3   438  0.19  0.01    64
 136  0.153  0.718  35301  3.4e+14   688  1.4   172  0.50  0.01    57
 137  0.905  0.226  36600  1.4e+14   515  1.0   341  0.19  0.01    80
 138  0.196  0.382  28171  3.6e+13   321  0.6    83  0.83  0.01    12
 139  0.094  0.453  29764     -1      -1   -1   152    -1    -1    -1
 140  0.807  0.127  35059  4.2e+14   738  1.5   355  0.09  0.01    76
 141  0.117  0.581  41357  2.1e+13   273  0.5   170  0.28  0.01    25
 142  0.719  0.846  24501  3.6e+14   699  1.4   123  0.30  0.01    52
 143  0.990  1.040  27840  2.1e+14   581  1.2    90  0.22  0.01    57
 144  1.016  0.018  40513  2.0e+14   578  1.1   292  0.17  0.01    59
 145  0.838  0.010  39662  4.5e+14   757  1.5   236  0.13  0.01    61
 146  0.746  0.154  35051  5.0e+14   786  1.5   133  0.18  0.01    54
 147  0.228  0.692  43783  1.9e+14   573  1.1   273  0.21  0.01    54
 148  1.024  0.822  39901  3.6e+14   703  1.4   246  0.26  0.01    67
 149  0.421  0.519  41022  1.2e+14   481  0.9   236  0.07  0.01    46
 150  0.195  0.556  38191  1.8e+14   557  1.1   315  0.25  0.01    54
 151  0.710  1.040  41169  2.5e+14   620  1.2   162  0.26  0.01    62
 152  0.286  0.074  39167  3.3e+14   680  1.3   229  0.26  0.01    48
 153  0.982  1.023  38556  1.3e+14   504  1.0   141  0.34  0.01    40
 154  0.122  0.080  17708  1.5e+14   518  1.0    94  0.34  0.01    47
 155  0.013  0.656  40401     -1      -1   -1   233    -1    -1    -1
 156  0.272  0.462  23418  1.2e+14   483  1.0   143  0.21  0.01    45
 157  0.103  0.458  29724  2.3e+14   605  1.2   218  0.30  0.01    58
 158  0.249  0.293  33338  1.5e+14   523  1.0   272  0.23  0.01    65
 159  1.014  0.809  39752  2.8e+14   644  1.3   246  0.26  0.01    55
 160  0.547  0.235  32566  2.4e+14   611  1.2   151  0.53  0.01    44
 161  0.422  0.265  42223  2.1e+14   588  1.1   480  0.09  0.01    42
 162  0.041  0.388  38268  2.5e+14   618  1.2   424  0.12  0.01    43
 163  1.014  0.127  39292  1.4e+14   514  1.0   676  0.12  0.01    55
 164  0.983  0.759  40597  1.6e+14   531  1.0   186  0.18  0.01    50
 165  0.882  0.564  34008     -1      -1   -1   289    -1    -1    -1
 166  0.610  0.485  16666  2.0e+14   570  1.2   190  0.18  0.01    58
 167  0.347  0.722  31528  6.1e+14   839  1.7   297  0.10  0.01    66
 168  0.884  0.188  25194  2.3e+14   601  1.2   205  0.20  0.01    55
 169  0.625  0.718  36801  1.4e+14   506  1.0   211  0.18  0.01    48
 170  0.552  0.360  34410  1.7e+14   545  1.1   215  0.36  0.01    55
 171  0.646  0.657  30234  1.5e+14   516  1.0   224  0.16  0.01    52
 172  0.306  0.808  37073  2.0e+14   579  1.1   265  0.27  0.01    62
 173  0.727  0.045  37722  1.7e+14   552  1.1   305  0.13  0.01    51
 174  0.625  0.376  34428  2.6e+14   633  1.2   255  0.18  0.01    42
 175  0.757  0.530  41305  2.6e+14   629  1.2   329  0.17  0.01    60
 176  0.381  0.299  41712  2.7e+14   640  1.2   261  0.15  0.01    54
 177  0.718  0.512  43794  9.5e+13   450  0.9   253  0.51  0.01     3
 178  0.275  0.992  41741  1.6e+14   534  1.0   278  0.10  0.01    45
 179  0.712  0.280  17398  2.2e+14   589  1.2    74  0.40  0.01    44
 180  0.243  0.578  37590  4.7e+14   770  1.5   198  0.12  0.01    55
 181  0.433  0.536  27797  2.7e+14   635  1.3   164  0.15  0.01    59
 182  0.637  0.096  33349  2.0e+15  1257  2.5   249  0.06  0.00    31
 183  0.909  0.009  43189  1.3e+14   500  1.0   232  0.15  0.01    44
 184  0.643  0.250  36824  1.6e+15  1156  2.3   406  0.05  0.00   117
 185  0.203  0.780  31498  3.1e+14   668  1.3   188  0.18  0.01    54
 186  0.529  0.054  25301  1.5e+14   524  1.0   236  0.15  0.01    53
 187  0.227  0.380  41285  3.2e+14   677  1.3   309  0.09  0.01    55
 188  0.159  0.964  35655  8.4e+13   430  0.9   162  0.28  0.01    44
 189  0.839  0.515  43959  5.8e+13   382  0.7   304  0.29  0.01    39
 190  0.170  0.917  42765  2.1e+14   586  1.1   210  0.26  0.01    56
 191  0.740  0.250  38417  2.2e+14   595  1.2   324  0.20  0.01    64
 192  0.572  0.882  23511  2.3e+14   598  1.2   126  0.22  0.01    50
 193  0.552  0.478  22386  1.6e+14   532  1.1   141  0.36  0.01    42
 194  0.131  0.987  43478  1.1e+14   477  0.9   249  0.23  0.01    41
 195  0.521  0.549  34826  2.4e+14   615  1.2   175  0.21  0.01    60
 196  0.872  0.390  37876  2.6e+14   629  1.2   325  0.14  0.01    95
 197  0.275  0.312  38503  2.2e+14   593  1.2   175  0.36  0.01    39
 198  0.038  0.620  36985  1.1e+14   467  0.9   180  0.19  0.01    36
 199  0.809  0.041  35235  6.6e+13   398  0.8   326  0.14  0.01    33
 200  0.140  0.766  30923  8.6e+13   434  0.9   267  0.18  0.01    36
 201  0.331  0.421  25571  2.9e+14   652  1.3   265  0.16  0.01    56
 202  0.872  0.390  37885  2.6e+14   629  1.2   337  0.13  0.01    95
 203  0.982  0.475  43656  6.4e+13   395  0.8   428  0.15  0.01    65
 204  0.179  0.484  37670  2.3e+14   608  1.2   175  0.19  0.01    45
 205  0.199  0.824  44443  8.5e+13   434  0.8   250  0.14  0.01    29
 206  0.188  0.143  24407  1.1e+14   462  0.9   352  0.28  0.01    39
 207  0.172  0.115  23788  2.6e+14   630  1.3   158  0.15  0.01    48
 208  0.751  0.244  28687  5.6e+14   812  1.6   194  0.08  0.01    60
 209  0.739  0.071  35049  1.0e+14   458  0.9   192  0.19  0.01    34
 210  0.586  0.524  22168  2.2e+14   588  1.2   150  0.14  0.01    50
 211  0.437  0.389  43175  1.9e+14   571  1.1   493  0.12  0.01    49
 212  0.336  0.406  25791  9.3e+13   444  0.9   251  0.23  0.01    49
 213  0.571  0.463  22486  2.7e+14   637  1.3   163  0.11  0.01    53
 214  0.796  0.997  34633  1.4e+14   506  1.0   117  0.54  0.01    39
 215  1.007  0.058  43835  1.3e+14   506  1.0   170  0.12  0.01    27
 216  0.655  0.466  24342  1.6e+14   533  1.1   151  0.36  0.01    44
 217  0.625  0.260  36019  1.6e+14   540  1.1   354  0.17  0.01    33
 218  0.523  0.365  40229  2.3e+14   609  1.2   220  0.22  0.01    42
 219  1.033  0.155  31584  2.1e+14   584  1.2   248  0.17  0.01    44
 220  0.290  0.208  43204  1.7e+14   550  1.1   271  0.17  0.01    51
 221  1.041  0.670  38304  2.4e+14   616  1.2   175  0.22  0.01    40
 222  0.054  0.735  40408  2.2e+14   592  1.2   373  0.19  0.01    55
 223  0.095  0.991  35768  1.4e+14   513  1.0   154  0.14  0.01    44
 224  0.428  0.275  41669  1.6e+14   536  1.0   499  0.09  0.01    43
 225  0.406  0.324  40204  1.1e+14   473  0.9   410  0.21  0.01    46
 226  0.274  0.552  35045  3.3e+14   681  1.3   333  0.11  0.01    56
 227  0.545  0.239  42984  1.2e+14   486  0.9   504  0.13  0.01    38
 228  0.368  0.520  27485  2.6e+14   624  1.2   175  0.12  0.01    55
 229  0.761  0.522  41273  2.2e+14   593  1.2   273  0.18  0.01    50
 230  0.050  0.068  43411  2.4e+14   617  1.2   355  0.10  0.01    59
 231  0.790  0.527  41374  7.0e+13   407  0.8   216  0.35  0.01    22
 232  0.760  0.999  41632  1.5e+14   519  1.0   175  0.36  0.01    37
 233  0.129  0.256  34872  1.1e+14   477  0.9   296  0.19  0.01    42
 234  0.802  0.114  34884  1.5e+14   519  1.0   437  0.13  0.01    40
 235  0.104  0.112  44021  3.7e+13   327  0.6   315  0.30  0.01    17
 236  0.750  0.213  43190  1.4e+14   509  1.0   219  0.12  0.01    38
 237  0.076  0.577  36434  3.5e+14   697  1.4   450  0.11  0.01    49
 238  0.567  0.017  25262  6.4e+14   847  1.7   221  0.18  0.01    72
 239  0.058  0.106  40015     -1      -1   -1   113    -1    -1    -1
 240  0.469  0.520  36564  2.1e+14   587  1.2   219  0.17  0.01    60
 241  0.871  0.320  22530  2.6e+14   628  1.3   147  0.25  0.01    50
 242  0.515  0.454  22100  1.0e+14   461  0.9   102  0.58  0.01    45
 243  0.208  0.389  41262  3.8e+13   332  0.7   278  0.59  0.01     5
 244  0.312  0.213  29047  2.1e+14   588  1.2   202  0.19  0.01    34
 245  0.230  0.358  35653  9.4e+13   447  0.9   166  0.22  0.01    30
 246  0.545  1.046  40404  1.2e+14   482  0.9   118  0.22  0.01    34
 247  0.512  0.541  40927  7.7e+13   420  0.8   291  0.30  0.01    45
 248  0.788  0.120  34297  4.3e+14   745  1.5   273  0.13  0.01    44
 249  0.084  0.418  38366  1.9e+14   566  1.1   279  0.37  0.01    58
 250  0.728  0.656  32303  1.2e+14   484  1.0   220  0.16  0.01    36
 251  1.044  1.009  36974  2.6e+14   632  1.2    83  0.23  0.01    38
 252  1.009  0.112  39370  2.7e+14   642  1.3   680  0.11  0.01    54
 253  0.920  0.290  22015  1.9e+14   560  1.1   138  0.33  0.01    43
 254  0.063  0.101  43023  6.7e+13   401  0.8   479  0.16  0.01    40
 255  0.562  0.662  35740  2.0e+14   574  1.1   157  0.37  0.01    52
 256  0.397  0.263  41888  2.0e+14   577  1.1   341  0.13  0.01    38
 257  0.472  0.326  36452  1.1e+14   475  0.9   421  0.19  0.01    47
 258  0.723  0.107   2151  1.6e+14   522  1.1    23  0.25  0.01    23
 259  0.629  0.482  24227  1.1e+14   467  0.9   153  0.31  0.01    29
 260  0.493  0.940  26428  3.4e+14   683  1.4   105  0.20  0.01    42
 261  0.379  0.771  38303  9.3e+13   445  0.9   195  0.21  0.01    32
 262  0.597  0.495  16354  1.3e+14   491  1.0   141  0.33  0.01    42
 263  0.521  0.118  39405  1.4e+14   514  1.0   205  0.33  0.01    46
 264  0.926  0.808  27137  2.2e+14   589  1.2   137  0.26  0.01    49
 265  0.008  0.007  40662  1.2e+15  1064  2.1   260  0.06  0.00    18
 266  0.475  0.414  40130  1.4e+14   515  1.0   203  0.13  0.01    16
 267  0.120  0.277  35322  1.8e+14   556  1.1   212  0.15  0.01    30
 268  0.202  0.024  43422  1.0e+14   463  0.9   695  0.37  0.01    15
 269  0.559  0.119  19493  1.7e+14   547  1.1    85  0.52  0.01    36
 270  0.110  0.098  44038  1.0e+14   462  0.9   309  0.34  0.01    42
 271  1.025  0.175  32024  1.8e+14   554  1.1   340  0.13  0.01    57
 272  0.584  0.628  19545  2.7e+14   630  1.3   115  0.24  0.01    44
 273  0.104  0.678  24542  1.5e+14   525  1.1   106  0.29  0.01    43
 274  0.140  0.509   4719  1.2e+14   484  1.0    42  0.21  0.01    38
 275  0.249  0.723  36329  2.3e+14   608  1.2   145  0.28  0.01    39
 276  0.117  0.322  44032  9.8e+13   456  0.9   199  0.37  0.01    28
 277  0.221  0.381  41272  1.9e+14   567  1.1   319  0.11  0.01    59
 278  0.594  1.029  24831  2.4e+14   612  1.2   116  0.55  0.01    11
 279  0.664  0.025  24087  1.8e+14   555  1.1    98  0.38  0.01    38
 280  0.608  0.612  30842  8.0e+13   423  0.8   197  0.12  0.01    32
 281  0.510  0.514  40353  2.5e+14   622  1.2   206  0.34  0.01    40
 282  0.080  0.649  37149  4.6e+14   761  1.5    75  0.24  0.01    20
 283  0.777  0.729  40290  9.7e+13   452  0.9   191  0.32  0.01    38
 284  0.387  0.051  14990  2.9e+14   643  1.3    77  0.45  0.01    38
 285  0.961  1.043  25009  1.3e+14   500  1.0    73  0.46  0.01    46
 286  0.814  0.216  15728  1.2e+14   487  1.0   112  0.12  0.01    36
 287  0.208  0.691  27017  1.2e+14   483  1.0   159  0.46  0.01    44
 288  0.896  1.000  24873  2.1e+14   580  1.2    69  0.23  0.01    33
 289  0.033  0.104  41988  2.0e+14   578  1.1   427  0.07  0.01    49
 290  0.774  0.604  42105  1.7e+14   544  1.1   361  0.13  0.01    45
 291  0.086  0.204  31012  1.8e+14   560  1.1   137  0.34  0.01    40
 292  0.315  0.852  37768  2.0e+14   572  1.1   192  0.19  0.01    36
 293  0.519  0.823  36992     -1      -1   -1   123    -1    -1    -1
 294  0.821  0.284  16142  1.2e+14   476  1.0   132  0.08  0.01    37
 295  0.368  0.044  23713  1.1e+14   465  0.9   177  0.12  0.01    38
 296  0.471  0.324  36310  8.9e+13   439  0.9   359  0.34  0.01    31
 297  0.913  0.249  36116  1.5e+14   527  1.0   282  0.18  0.01    47
 298  0.716  0.634  32428  1.5e+14   520  1.0   162  0.55  0.01    10
 299  0.743  0.543  41393  2.3e+14   609  1.2   294  0.32  0.01    36
 300  0.073  0.611  34997  2.9e+14   657  1.3   391  0.10  0.01    46
 301  0.153  0.240  34155  1.3e+14   504  1.0   152  0.27  0.01    30
 302  0.354  0.280  30527  1.6e+14   534  1.1   185  0.23  0.01    38
 303  0.430  0.946  23121  1.9e+14   568  1.1   111  0.38  0.01    48
 304  0.077  0.576  43375  1.5e+14   525  1.0   353  0.18  0.01    47
 305  0.067  0.575  36409  3.0e+14   660  1.3   401  0.11  0.01   100
 306  0.747  0.070  44021  9.9e+13   457  0.9   304  0.27  0.01    31
 307  0.500  0.975  42448  1.3e+14   498  1.0   182  0.26  0.01    40
 308  0.277  0.546  34931  1.2e+14   479  0.9   240  0.15  0.01    37
 309  0.072  0.731  40203  5.3e+14   802  1.6   407  0.14  0.01   100
 310  0.949  0.430  41314  6.5e+13   395  0.8   249  0.24  0.01    21
 311  0.005  0.268  34575  1.8e+14   555  1.1   194  0.49  0.01    34
 312  0.198  0.183  34349  1.7e+14   548  1.1   219  0.20  0.01    45
 313  0.202  0.676  44016  7.1e+13   409  0.8   186  0.30  0.01    20
 314  0.764  0.565  38178  2.4e+14   611  1.2   250  0.15  0.01    43
 315  1.031  0.120  39219  1.0e+14   459  0.9   319  0.11  0.01    16
 316  0.028  0.842  42220  2.0e+14   582  1.1   185  0.39  0.01    41
 317  0.737  0.351  42792  1.1e+14   473  0.9   268  0.14  0.01    39
 318  0.789  0.708  43008  1.4e+14   512  1.0   229  0.17  0.01    36
 319  0.930  0.777  28386  7.1e+13   405  0.8    87  0.23  0.01    26
 320  0.152  0.223  28451  8.2e+14   922  1.8   153  0.10  0.01    40
 321  0.153  0.419  38738  2.7e+14   635  1.2   304  0.12  0.01    46
 322  0.941  0.736   8829  1.6e+14   523  1.1    49  0.13  0.01    31
 323  0.464  0.963  43779  8.0e+13   426  0.8   210  0.17  0.01    40
 324  0.255  0.522  37627  6.6e+13   398  0.8   251  0.28  0.01    35
 325  1.044  0.342  42436  2.1e+14   585  1.1   123  0.14  0.01    37
 326  0.375  0.040  23706  1.0e+14   458  0.9   187  0.11  0.01    44
 327  0.577  0.444  31200  1.3e+14   493  1.0   246  0.29  0.01    46
 328  0.292  0.727  37791  1.7e+14   551  1.1   153  0.17  0.01    29
 329  0.483  0.760  41504  1.4e+14   517  1.0   176  0.32  0.01    48
 330  0.735  0.361  25397  1.4e+14   505  1.0   195  0.17  0.01    42
 331  0.545  0.247  43005  1.6e+14   532  1.0   627  0.10  0.01    65
 332  0.580  0.758  36708     -1      -1   -1    71    -1    -1    -1
 333  0.093  0.249  31207  1.4e+14   510  1.0   188  0.14  0.01    39
 334  0.485  0.423  40142  1.1e+14   476  0.9   255  0.18  0.01    43
 335  0.360  0.546  29340  5.1e+14   785  1.6   348  0.08  0.01    82
 336  0.608  0.037  40392  3.0e+13   305  0.6   174  0.34  0.01    19
 337  0.364  0.554  29073  1.1e+14   476  0.9   324  0.13  0.01    53
 338  0.596  0.708  44022  7.9e+13   423  0.8   139  0.35  0.01    26
 339  0.100  0.973  37374  1.0e+14   464  0.9   278  0.18  0.01    20
 340  0.693  0.553  42289  1.2e+14   482  0.9   334  0.15  0.01    28
 341  0.303  0.124  30804  7.4e+13   413  0.8   214  0.37  0.01    35
 342  0.607  0.449  35137  2.2e+14   595  1.2   447  0.19  0.01    53
 343  0.416  0.977  37846  1.3e+14   495  1.0   210  0.10  0.01    35
 344  0.810  0.752  33319  2.1e+14   582  1.2   208  0.11  0.01    37
 345  0.124  0.154  28402  1.9e+14   569  1.1   230  0.26  0.01    51
 346  0.601  0.797  29663  2.2e+14   595  1.2   207  0.17  0.01    54
 347  0.446  0.295  25716  1.8e+14   555  1.1   118  0.17  0.01    34
 348  0.076  0.003  37467  8.5e+13   433  0.9   108  0.39  0.01    27
 349  0.927  0.868  26870  8.2e+13   425  0.8   199  0.26  0.01    32
 350  0.249  0.692  44063  4.3e+13   344  0.7   256  0.18  0.01    21
 351  0.496  0.779  35629  1.4e+14   513  1.0   128  0.15  0.01    21
 352  0.114  0.557  23337  1.2e+14   483  1.0   179  0.13  0.01    26
 353  0.645  1.017  25701  1.3e+14   500  1.0    54  0.81  0.01    19
 354  0.893  0.226  36597  9.9e+13   455  0.9   323  0.26  0.01    38
 355  0.566  0.991  41282  7.6e+13   418  0.8   150  0.41  0.01    27
 356  0.880  1.005  21583  2.7e+14   631  1.3    47  0.20  0.01    33
 357  0.095  0.996  43117  4.6e+13   352  0.7   307  0.15  0.01    26
