# halo-id  ra  dec  vres  m200  vdisp200  r200  Ngal  M200err(stat)  M200err(syst)  N200
  46  0.599  0.443  35047  2.5e+14   622  1.2   319  0.24  0.01    85
  47  0.820  0.732  33348  1.9e+14   564  1.1   215  0.32  0.01    56
  48  0.327  0.134  30869  2.9e+14   652  1.3   251  0.12  0.01    68
  49  0.778  1.007  19991  2.4e+14   609  1.2   110  0.17  0.01    75
  50  0.122  0.341  25605  1.4e+14   505  1.0   130  0.21  0.01    34
  51  0.857  0.362  15443  2.9e+14   648  1.3   128  0.07  0.01    84
  52  0.454  0.405  43272  1.9e+14   567  1.1   498  0.16  0.01    77
  53  0.409  0.490  40974  3.5e+14   695  1.4   375  0.13  0.01    81
  54  0.099  0.726  40815  3.8e+14   720  1.4   331  0.21  0.01   101
  55  0.990  0.876  41135  4.6e+14   765  1.5   233  0.11  0.01    75
  56  0.605  0.082  22117  2.3e+14   597  1.2   135  0.29  0.01    74
  57  0.670  0.581  42666  2.9e+14   654  1.3   258  0.13  0.01    68
  58  0.070  0.627  43879  3.1e+14   670  1.3   162  0.16  0.01    72
  59  0.039  0.407  39309  2.4e+14   614  1.2   319  0.12  0.01    80
  60  0.988  0.148  39517  3.4e+14   692  1.4   288  0.17  0.01    89
  61  0.295  0.379  37944  2.5e+14   619  1.2   315  0.21  0.01    71
  62  0.740  0.254  22962  2.5e+14   618  1.2   212  0.34  0.01    96
  63  0.541  0.266  43635  2.3e+14   605  1.2   362  0.08  0.01    65
  64  0.605  0.465  35202  2.1e+14   589  1.2   291  0.26  0.01    76
  65  0.124  0.154  34877  1.2e+14   489  1.0   174  0.38  0.01    41
  66  0.532  0.957  41603  2.0e+14   579  1.1   173  0.17  0.01    49
  67  0.210  0.537  21830  2.4e+14   612  1.2   154  0.17  0.01    67
  68  0.932  0.738  38615  1.0e+14   460  0.9   148  0.28  0.01    54
  69  0.012  0.023  40789  2.2e+14   593  1.2   324  0.14  0.01    77
  70  0.157  0.552  18705  2.8e+14   642  1.3   125  0.13  0.01    72
  71  0.492  0.130  30729  3.0e+14   660  1.3   274  0.24  0.01    64
  72  0.739  0.707  43229  1.8e+14   555  1.1   303  0.12  0.01    63
  73  0.174  0.093  39434  4.2e+14   740  1.4   331  0.12  0.01    74
  74  0.610  0.956  39131  2.2e+14   598  1.2   117  0.18  0.01    73
  75  0.681  0.383  33591  3.1e+14   666  1.3   162  0.16  0.01    71
  76  0.933  0.615  34892  1.9e+14   563  1.1   266  0.17  0.01    65
  77  0.975  0.471  14612  3.2e+14   671  1.4   104  0.16  0.01    64
  78  0.911  0.845  27325  1.8e+14   557  1.1   103  0.32  0.01    52
  79  0.153  0.727  27488  1.4e+14   511  1.0   221  0.39  0.01    83
  80  0.569  0.450  22358     -1      -1   -1   122    -1    -1    -1
  81  0.578  0.987  27354  2.4e+14   608  1.2   130  0.21  0.01    78
  82  0.224  0.167  30124  1.4e+14   508  1.0   171  0.20  0.01    45
  83  0.298  0.589  39138  2.1e+14   591  1.2   255  0.53  0.01    72
  84  0.697  0.764  32096  2.6e+14   628  1.2   190  0.21  0.01    63
  85  0.279  0.568  35029  2.4e+14   610  1.2   258  0.17  0.01    52
  86  0.002  0.001  29572  1.4e+14   515  1.0    87  0.28  0.01    60
  87  0.285  0.382  38044  2.0e+14   581  1.1   295  0.21  0.01    58
  88  0.261  0.493  43591  1.4e+14   514  1.0   271  0.11  0.01    51
  89  0.097  0.229  31067  6.5e+13   394  0.8   191  0.34  0.01    28
  90  0.063  0.527  44008  8.1e+13   426  0.8   238  0.20  0.01    56
  91  0.483  0.440  10322  2.3e+14   600  1.2    87  0.27  0.01    68
  92  0.217  0.709  36775  1.9e+14   568  1.1   247  0.18  0.01    53
  93  1.019  0.342  22427  1.6e+14   527  1.1   109  0.22  0.01    57
  94  0.066  0.575  36484  3.0e+14   660  1.3   322  0.13  0.01   101
  95  0.515  0.798  32727  1.9e+14   565  1.1   191  0.32  0.01    51
  96  1.014  0.775   8705  7.7e+13   413  0.8    84  0.41  0.01    51
  97  0.820  0.142  35169     -1      -1   -1   222    -1    -1    -1
  98  0.626  0.966  27286  7.0e+13   403  0.8   110  0.36  0.01    40
  99  0.009  0.590  34284  1.6e+14   539  1.1   161  0.32  0.01    49
 100  0.797  0.144  37944  2.0e+14   578  1.1   167  0.17  0.01    59
 101  0.666  0.886  26867  1.4e+14   508  1.0   126  0.32  0.01    51
 102  0.084  0.027  27832  3.8e+14   714  1.4   163  0.13  0.01    90
 103  0.835  0.294  25901  1.6e+14   529  1.1   122  0.20  0.01    55
 104  0.980  0.889  41324  2.1e+14   584  1.1   269  0.16  0.01    65
 105  0.843  0.306  41758  3.2e+14   675  1.3   329  0.13  0.01    59
 106  0.836  0.336  41405  2.1e+14   586  1.1   248  0.18  0.01    56
 107  0.980  0.203  21408  1.2e+14   484  1.0   110  0.38  0.01    56
 108  0.101  0.338  25754  2.2e+14   593  1.2   151  0.19  0.01    65
 109  0.513  0.949  21323  1.4e+14   513  1.0   140  0.38  0.01    58
 110  0.622  0.590  15811  2.4e+14   608  1.2    71  0.28  0.01    42
 111  0.612  0.875  26697  5.4e+14   799  1.6   224  0.12  0.01    79
 112  0.718  0.523  44111  7.5e+13   417  0.8   226  0.12  0.01    46
 113  0.037  0.015  26934  1.1e+14   464  0.9   129  0.21  0.01    32
 114  0.067  0.475  44100  1.4e+14   513  1.0   237  0.15  0.01    72
 115  1.027  0.426  44302  5.1e+13   366  0.7   266  0.15  0.01    33
 116  0.258  0.102  42427  1.2e+14   482  0.9   300  0.11  0.01    46
 117  0.394  0.674  43697  1.3e+14   494  1.0   208  0.12  0.01    49
 118  0.145  0.750  31175  2.0e+14   577  1.1   258  0.19  0.01    45
 119  0.296  0.167  30441  1.1e+14   474  0.9   177  0.20  0.01    44
 120  0.764  0.054  35082  2.8e+14   642  1.3   205  0.19  0.01    50
 121  0.465  0.779  33399  2.2e+14   590  1.2   125  0.25  0.01    38
 122  0.725  0.744  23627  9.8e+13   451  0.9   186  0.10  0.01    44
 123  0.075  0.266  31217  1.3e+14   497  1.0   141  0.20  0.01    40
 124  0.631  0.275  35997  1.7e+14   544  1.1   246  0.25  0.01    48
 125  0.198  0.361  28165     -1      -1   -1    95    -1    -1    -1
 126  0.763  0.729  33250  1.5e+14   518  1.0   207  0.14  0.01    56
 127  1.027  0.660  38303  2.9e+14   657  1.3   229  0.15  0.01    55
 128  0.229  1.004  41951  2.8e+14   645  1.3   255  0.13  0.01    60
 129  0.430  0.314  40025  1.6e+14   532  1.0   407  0.28  0.01    49
 130  0.891  0.378  37836  1.2e+14   484  1.0   297  0.18  0.01    43
 131  0.881  0.876  25198  2.4e+14   614  1.2   125  0.32  0.01    50
 132  0.544  0.786  39615  1.0e+13   213  0.4   116  0.91  0.02     0
 133  0.491  0.914  26501  2.5e+14   620  1.2   117  0.20  0.01    59
 134  0.006  0.649  40133  2.1e+14   589  1.2   267  0.22  0.01    68
 135  0.758  0.111  39148  2.9e+14   653  1.3   391  0.20  0.01    61
 136  0.153  0.718  35286  2.8e+14   645  1.3   166  0.51  0.01    54
 137  0.905  0.226  36597  9.5e+13   449  0.9   285  0.22  0.01    70
 138  0.196  0.382  28258  1.9e+13   261  0.5    72  0.93  0.01    10
 139  0.094  0.453  29738     -1      -1   -1   144    -1    -1    -1
 140  0.807  0.127  34838  3.5e+14   695  1.4   260  0.11  0.01    69
 141  0.117  0.581  41446  4.1e+13   340  0.7   126  0.72  0.01    10
 142  0.719  0.846  24519  1.4e+14   504  1.0    88  0.41  0.01    40
 143  0.990  1.040  27898  1.4e+14   513  1.0    76  0.27  0.01    44
 144  1.016  0.018  40580  1.5e+14   530  1.0   229  0.20  0.01    54
 145  0.838  0.010  39282  6.5e+13   395  0.8   144  0.27  0.01    22
 146  0.746  0.154  34983  2.4e+14   612  1.2    98  0.24  0.01    44
 147  0.228  0.692  44085  7.3e+13   412  0.8   200  0.30  0.01    30
 148  1.024  0.822  39912  2.1e+14   588  1.2   224  0.30  0.01    60
 149  0.421  0.519  41042  1.2e+14   481  0.9   221  0.07  0.01    46
 150  0.195  0.556  38026  1.5e+14   522  1.0   250  0.28  0.01    40
 151  0.710  1.040  41198  1.3e+14   500  1.0   146  0.32  0.01    56
 152  0.286  0.074  39167  1.9e+14   566  1.1   214  0.31  0.01    44
 153  0.982  1.023  38661  1.3e+14   504  1.0   109  0.37  0.01    40
 154  0.122  0.080  17715  1.3e+14   500  1.0    90  0.34  0.01    45
 155  0.013  0.656  40244     -1      -1   -1   193    -1    -1    -1
 156  0.272  0.462  23590  1.1e+14   462  0.9   112  0.24  0.01    43
 157  0.103  0.458  29697  2.2e+14   591  1.2   188  0.33  0.01    55
 158  0.249  0.293  33477  1.3e+14   502  1.0   208  0.26  0.01    63
 159  1.014  0.809  39776  1.0e+14   464  0.9   221  0.36  0.01    37
 160  0.547  0.235  32632  8.2e+13   427  0.8   130  0.66  0.01    30
 161  0.422  0.265  41934  2.0e+14   582  1.1   334  0.11  0.01    43
 162  0.041  0.388  38079  7.0e+13   405  0.8   317  0.19  0.01    29
 163  1.014  0.127  39194  1.4e+14   509  1.0   534  0.14  0.01    54
 164  0.983  0.759  40825  1.3e+14   494  1.0   130  0.22  0.01    47
 165  0.882  0.564  34004  3.4e+15  1495  2.9   283  0.20  0.01    17
 166  0.610  0.485  16432  1.1e+14   467  0.9   143  0.24  0.01    45
 167  0.347  0.722  31580  1.0e+14   463  0.9   173  0.20  0.01    27
 168  0.884  0.188  24774  1.5e+14   515  1.0   113  0.29  0.01    46
 169  0.625  0.718  36744  1.4e+14   506  1.0   179  0.20  0.01    48
 170  0.552  0.360  34462  1.4e+14   508  1.0   193  0.39  0.01    52
 171  0.646  0.657  30239  1.5e+14   516  1.0   209  0.16  0.01    52
 172  0.306  0.808  37080  1.7e+14   546  1.1   234  0.29  0.01    53
 173  0.727  0.045  37882  1.5e+14   520  1.0   213  0.15  0.01    49
 174  0.625  0.376  34442  1.0e+14   457  0.9   229  0.22  0.01    25
 175  0.757  0.530  41257  2.1e+14   587  1.1   298  0.20  0.01    55
 176  0.381  0.299  41082  1.4e+14   510  1.0   168  0.22  0.01    25
 177  0.718  0.512  44072     -1      -1   -1   188    -1    -1    -1
 178  0.275  0.992  41737  1.6e+14   534  1.0   265  0.11  0.01    45
 179  0.712  0.280  17442  1.3e+14   492  1.0    64  0.46  0.01    39
 180  0.243  0.578  37687  2.3e+14   607  1.2   162  0.17  0.01    49
 181  0.433  0.536  27573  1.7e+14   545  1.1   122  0.19  0.01    50
 182  0.637  0.096  33541     -1      -1   -1   190    -1    -1    -1
 183  0.909  0.009  43318  1.3e+14   500  1.0   179  0.18  0.01    44
 184  0.643  0.250  37255  2.1e+14   590  1.2   257  0.13  0.01    54
 185  0.203  0.780  31580  1.8e+14   552  1.1   151  0.23  0.01    44
 186  0.529  0.054  25313  1.5e+14   522  1.0   210  0.15  0.01    55
 187  0.227  0.380  41266  1.5e+14   524  1.0   224  0.14  0.01    43
 188  0.159  0.964  35532  8.4e+13   430  0.9   119  0.31  0.01    44
 189  0.839  0.515  44060  5.8e+13   382  0.7   237  0.31  0.01    39
 190  0.170  0.917  42698  9.5e+13   450  0.9   170  0.35  0.01    46
 191  0.740  0.250  38469  1.8e+14   553  1.1   269  0.23  0.01    55
 192  0.572  0.882  23652  1.2e+14   483  1.0    98  0.27  0.01    41
 193  0.552  0.478  22368  8.8e+13   435  0.9   126  0.41  0.01    37
 194  0.131  0.987  43515  1.1e+14   476  0.9   224  0.25  0.01    41
 195  0.521  0.549  34760  1.8e+14   556  1.1   152  0.23  0.01    54
 196  0.872  0.390  37843  1.4e+14   517  1.0   265  0.18  0.01    79
 197  0.275  0.312  38476  1.7e+14   548  1.1   161  0.39  0.01    36
 198  0.038  0.620  37257  8.3e+13   430  0.8   128  0.22  0.01    32
 199  0.809  0.041  35172  7.0e+13   405  0.8   288  0.15  0.01    37
 200  0.140  0.766  31012  8.6e+13   434  0.9   226  0.19  0.01    36
 201  0.331  0.421  25591  1.1e+14   468  0.9   219  0.23  0.01    35
 202  0.872  0.390  37849  1.4e+14   517  1.0   266  0.17  0.01    79
 203  0.982  0.475  43676  6.4e+13   395  0.8   406  0.16  0.01    65
 204  0.179  0.484  37551  1.8e+14   556  1.1   125  0.24  0.01    40
 205  0.199  0.824  44493  4.4e+13   349  0.7   227  0.18  0.01    18
 206  0.188  0.143  24368  7.3e+13   409  0.8   328  0.31  0.01    33
 207  0.172  0.115  23784  2.3e+14   599  1.2   149  0.17  0.01    47
 208  0.751  0.244  28433  1.7e+14   543  1.1   101  0.15  0.01    20
 209  0.739  0.071  34896  5.6e+13   377  0.7   146  0.25  0.01    29
 210  0.586  0.524  22000  1.6e+14   526  1.1    91  0.19  0.01    45
 211  0.437  0.389  43103  1.5e+14   521  1.0   410  0.14  0.01    40
 212  0.336  0.406  25809  7.5e+13   413  0.8   213  0.26  0.01    45
 213  0.571  0.463  22475  2.1e+14   584  1.2   142  0.13  0.01    45
 214  0.796  0.997  34653  9.6e+13   450  0.9   101  0.60  0.01    36
 215  1.007  0.058  44087  9.5e+13   450  0.9   126  0.15  0.01    24
 216  0.655  0.466  24268  8.1e+13   423  0.8   131  0.42  0.01    38
 217  0.625  0.260  35927  1.3e+14   493  1.0   279  0.20  0.01    30
 218  0.523  0.365  40455  2.3e+14   608  1.2   149  0.26  0.01    42
 219  1.033  0.155  31541  2.0e+14   571  1.1   207  0.18  0.01    40
 220  0.290  0.208  42802  9.9e+13   457  0.9   172  0.23  0.01    44
 221  1.041  0.670  38318  1.6e+14   537  1.1   154  0.26  0.01    35
 222  0.054  0.735  40387  2.2e+14   592  1.2   301  0.22  0.01    55
 223  0.095  0.991  35737  1.2e+14   482  1.0   117  0.17  0.01    43
 224  0.428  0.275  41736  1.2e+14   486  1.0   383  0.11  0.01    38
 225  0.406  0.324  40219  1.1e+14   473  0.9   354  0.22  0.01    46
 226  0.274  0.552  34944  2.3e+14   601  1.2   248  0.14  0.01    50
 227  0.545  0.239  43029  5.4e+13   373  0.7   417  0.17  0.01    31
 228  0.368  0.520  27552  1.3e+14   493  1.0   127  0.18  0.01    47
 229  0.761  0.522  41228  1.5e+14   520  1.0   233  0.21  0.01    47
 230  0.050  0.068  43561  1.4e+14   518  1.0   244  0.13  0.01    50
 231  0.790  0.527  41358  1.5e+13   244  0.5   157  0.80  0.02    12
 232  0.760  0.999  41585  1.3e+14   497  1.0   153  0.39  0.01    35
 233  0.129  0.256  34934  9.8e+13   454  0.9   203  0.23  0.01    41
 234  0.802  0.114  34946  1.5e+14   519  1.0   339  0.15  0.01    40
 235  0.104  0.112  44112  3.7e+13   327  0.6   268  0.31  0.01    17
 236  0.750  0.213  43293  1.0e+14   465  0.9   149  0.15  0.01    32
 237  0.076  0.577  36420  1.5e+14   518  1.0   364  0.16  0.01    31
 238  0.567  0.017  25266  7.0e+13   403  0.8   171  0.34  0.01    26
 239  0.058  0.106  40127     -1      -1   -1    93    -1    -1    -1
 240  0.469  0.520  36652  4.2e+13   342  0.7   156  0.30  0.01    28
 241  0.871  0.320  22507  1.2e+14   476  1.0   126  0.34  0.01    38
 242  0.515  0.454  22065  6.4e+13   391  0.8    91  0.64  0.01    39
 243  0.208  0.389  41247     -1      -1   -1   245    -1    -1    -1
 244  0.312  0.213  29375  2.9e+13   300  0.6   131  0.77  0.01    13
 245  0.230  0.358  35633  2.4e+13   282  0.6   127  0.79  0.01     9
 246  0.545  1.046  40345  3.6e+13   324  0.6    84  0.33  0.01    25
 247  0.512  0.541  40940  6.0e+13   386  0.8   246  0.35  0.01    37
 248  0.788  0.120  34377  2.3e+14   607  1.2   213  0.17  0.01    36
 249  0.084  0.418  38336  1.3e+14   499  1.0   249  0.43  0.01    50
 250  0.728  0.656  31983  6.9e+13   403  0.8   127  0.23  0.01    32
 251  1.044  1.009  36995  8.7e+13   436  0.9    71  0.31  0.01    30
 252  1.009  0.112  39200  1.6e+14   532  1.0   536  0.15  0.01    40
 253  0.920  0.290  22085  1.4e+14   507  1.0   121  0.37  0.01    37
 254  0.063  0.101  43126  5.6e+13   377  0.7   392  0.17  0.01    37
 255  0.562  0.662  35714  1.7e+14   548  1.1   138  0.39  0.01    51
 256  0.397  0.263  41397  1.1e+14   470  0.9   205  0.20  0.01    32
 257  0.472  0.326  36445  1.1e+14   465  0.9   328  0.22  0.01    44
 258  0.723  0.107   2130  1.0e+14   455  0.9    22  0.27  0.01    22
 259  0.629  0.482  24236  1.1e+14   467  0.9   150  0.31  0.01    29
 260  0.493  0.940  26346  9.8e+13   452  0.9    90  0.29  0.01    23
 261  0.379  0.771  38414  7.5e+13   415  0.8   155  0.25  0.01    30
 262  0.597  0.495  16309  1.3e+14   492  1.0   123  0.35  0.01    42
 263  0.521  0.118  39361  9.2e+13   445  0.9   176  0.39  0.01    38
 264  0.926  0.808  27123  9.2e+13   443  0.9   102  0.36  0.01    38
 265  0.008  0.007  40635  1.1e+14   477  0.9   202  0.53  0.01     0
 266  0.475  0.414  40127  9.3e+13   447  0.9   191  0.56  0.01    15
 267  0.120  0.277  35120  1.2e+14   481  1.0   161  0.57  0.01     7
 268  0.202  0.024  43497  5.3e+13   371  0.7   643  0.43  0.01     5
 269  0.559  0.119  19480  1.4e+14   513  1.0    81  0.54  0.01    34
 270  0.110  0.098  44092  7.4e+13   414  0.8   268  0.38  0.01    39
 271  1.025  0.175  32003  1.6e+14   533  1.1   302  0.14  0.01    55
 272  0.584  0.628  19356  1.6e+14   526  1.1    91  0.32  0.01    40
 273  0.104  0.678  24677  8.6e+13   432  0.9    87  0.37  0.01    35
 274  0.140  0.509   4719  1.2e+14   484  1.0    42  0.22  0.01    38
 275  0.249  0.723  36308  9.3e+13   445  0.9   117  0.38  0.01    29
 276  0.117  0.322  44013  9.8e+13   456  0.9   180  0.37  0.01    28
 277  0.221  0.381  41194  8.3e+13   431  0.8   242  0.16  0.01    46
 278  0.594  1.029  24716     -1      -1   -1    89    -1    -1    -1
 279  0.664  0.025  24091  1.4e+14   514  1.0    89  0.37  0.01    37
 280  0.608  0.612  30839  6.9e+13   401  0.8   187  0.13  0.01    29
 281  0.510  0.514  40401  1.2e+14   487  1.0   161  0.44  0.01    31
 282  0.080  0.649  37347  5.8e+14   826  1.6    64  0.24  0.01    17
 283  0.777  0.729  40237  4.9e+13   361  0.7   167  0.40  0.01    28
 284  0.387  0.051  14945  1.0e+14   457  0.9    68  0.56  0.01    30
 285  0.961  1.043  25001  1.1e+14   462  0.9    68  0.48  0.01    42
 286  0.814  0.216  15708  9.9e+13   451  0.9   100  0.14  0.01    33
 287  0.208  0.691  27099  9.7e+13   450  0.9   136  0.50  0.01    37
 288  0.896  1.000  24721  1.5e+14   517  1.0    60  0.28  0.01    27
 289  0.033  0.104  42694  3.1e+13   308  0.6   219  0.17  0.01    25
 290  0.774  0.604  42066  6.9e+13   404  0.8   269  0.18  0.01    30
 291  0.086  0.204  31029  1.5e+14   519  1.0   124  0.37  0.01    39
 292  0.315  0.852  37758  1.7e+14   551  1.1   183  0.18  0.01    35
 293  0.519  0.823  37170  4.7e+13   356  0.7    96  0.76  0.01     0
 294  0.821  0.284  16189  1.2e+14   476  1.0   123  0.08  0.01    37
 295  0.368  0.044  23720  1.1e+14   465  0.9   169  0.12  0.01    38
 296  0.471  0.324  36362  6.1e+13   386  0.8   332  0.38  0.01    19
 297  0.913  0.249  36018  8.9e+13   439  0.9   199  0.23  0.01    36
 298  0.716  0.634  32257     -1      -1   -1   118    -1    -1    -1
 299  0.743  0.543  41387  2.1e+14   591  1.2   269  0.34  0.01    35
 300  0.073  0.611  34663  1.6e+14   537  1.1   256  0.14  0.01    37
 301  0.153  0.240  34161  1.3e+14   504  1.0   131  0.29  0.01    30
 302  0.354  0.280  30455  1.6e+14   534  1.1   138  0.25  0.01    38
 303  0.430  0.946  23200  8.1e+13   423  0.9    91  0.50  0.01    39
 304  0.077  0.576  43326  1.2e+14   490  1.0   297  0.20  0.01    41
 305  0.067  0.575  36456  2.5e+14   623  1.2   339  0.12  0.01    94
 306  0.747  0.070  44121  4.7e+13   356  0.7   265  0.33  0.01    28
 307  0.500  0.975  42340  1.3e+14   498  1.0   155  0.29  0.01    40
 308  0.277  0.546  34901  8.4e+13   431  0.9   195  0.18  0.01    33
 309  0.072  0.731  40353  3.6e+14   705  1.4   324  0.17  0.01    85
 310  0.949  0.430  41284  3.4e+13   317  0.6   165  0.70  0.01    14
 311  0.005  0.268  34581  1.6e+14   531  1.0   190  0.50  0.01    33
 312  0.198  0.183  34207  1.6e+14   530  1.0   169  0.22  0.01    41
 313  0.202  0.676  44059  4.1e+13   338  0.7   170  0.36  0.01    17
 314  0.764  0.565  38090  8.3e+13   430  0.8   197  0.22  0.01    25
 315  1.031  0.120  39104     -1      -1   -1   208    -1    -1    -1
 316  0.028  0.842  42209  1.7e+14   542  1.1   176  0.41  0.01    40
 317  0.737  0.351  42806  1.1e+14   473  0.9   250  0.14  0.01    39
 318  0.789  0.708  43131  1.1e+14   478  0.9   187  0.21  0.01    34
 319  0.930  0.777  28390  7.1e+13   405  0.8    73  0.25  0.01    26
 320  0.152  0.223  27938  1.7e+15  1185  2.3    87  0.10  0.00    29
 321  0.153  0.419  38276  2.4e+14   615  1.2   202  0.15  0.01    43
 322  0.941  0.736   8853  6.3e+13   386  0.8    45  0.18  0.01    23
 323  0.464  0.963  43837  6.5e+13   398  0.8   186  0.19  0.01    47
 324  0.255  0.522  37700  5.4e+13   371  0.7   198  0.33  0.01    30
 325  1.044  0.342  42406  1.5e+14   527  1.0   114  0.16  0.01    35
 326  0.375  0.040  23698  7.9e+13   419  0.8   175  0.13  0.01    40
 327  0.577  0.444  31217  1.3e+14   493  1.0   209  0.31  0.01    46
 328  0.292  0.727  37480  1.1e+14   474  0.9   103  0.23  0.01    26
 329  0.483  0.760  41455  1.4e+14   517  1.0   140  0.34  0.01    48
 330  0.735  0.361  25368  7.5e+13   413  0.8   173  0.21  0.01    34
 331  0.545  0.247  43054  1.6e+14   532  1.0   569  0.10  0.01    65
 332  0.580  0.758  36673  1.3e+13   228  0.5    58  1.02  0.02     0
 333  0.093  0.249  31124  7.9e+13   421  0.8   145  0.19  0.01    28
 334  0.485  0.423  40120  9.8e+13   455  0.9   232  0.19  0.01    40
 335  0.360  0.546  29027  4.3e+14   744  1.5   260  0.09  0.01    74
 336  0.608  0.037  40525  3.0e+13   305  0.6   131  0.38  0.01    19
 337  0.364  0.554  28893  1.1e+14   469  0.9   211  0.15  0.01    42
 338  0.596  0.708  44031  7.9e+13   423  0.8   135  0.33  0.01    26
 339  0.100  0.973  37291  8.4e+13   432  0.9   214  0.56  0.01    15
 340  0.693  0.553  42324  1.2e+14   482  0.9   241  0.17  0.01    28
 341  0.303  0.124  30874  5.1e+13   362  0.7   169  0.42  0.01    27
 342  0.607  0.449  35132  1.4e+14   510  1.0   395  0.22  0.01    44
 343  0.416  0.977  37777  1.3e+14   494  1.0   190  0.11  0.01    31
 344  0.810  0.752  33320  1.4e+14   516  1.0   190  0.13  0.01    34
 345  0.124  0.154  28405  1.6e+14   529  1.1   197  0.30  0.01    47
 346  0.601  0.797  29760  1.6e+14   533  1.1   153  0.20  0.01    48
 347  0.446  0.295  25905  5.9e+13   381  0.8    75  0.29  0.01    26
 348  0.076  0.003  37467  8.1e+13   426  0.8    89  0.42  0.01    29
 349  0.927  0.868  26831  8.2e+13   425  0.8   151  0.29  0.01    32
 350  0.249  0.692  44297  2.5e+13   289  0.6   199  0.69  0.01    15
 351  0.496  0.779  36024  1.4e+14   513  1.0    95  0.18  0.01    21
 352  0.114  0.557  23207  5.4e+13   369  0.7   145  0.19  0.01    32
 353  0.645  1.017  25706  9.9e+13   454  0.9    53  0.84  0.01    18
 354  0.893  0.226  36543  5.2e+13   367  0.7   276  0.32  0.01    30
 355  0.566  0.991  41271  6.3e+13   393  0.8   123  0.45  0.01    25
 356  0.880  1.005  21540  2.7e+14   631  1.3    42  0.21  0.01    33
 357  0.095  0.996  43063  4.6e+13   352  0.7   256  0.16  0.01    26
