# halo-id  ra  dec  vres  m200  vdisp200  r200  N200  M200err(stat)  M200err(syst)  Ngal
  55  0.806  0.011  23979  3.0e+14   655  1.3    97  0.15  0.01   231
  56  0.483  0.189  44157  3.9e+14   727  1.4   189  0.09  0.01   423
  57  1.018  0.776  47821  2.2e+14   601  1.2    89  0.12  0.01   364
  58  0.485  0.186  34039  1.7e+14   545  1.1    60  0.18  0.01   226
  59  1.128  0.465  34176  2.9e+14   649  1.3    91  0.33  0.01   270
  60  1.567  0.622  25417  3.5e+14   692  1.4   167  0.09  0.01   268
  61  0.438  0.940  49000  4.4e+13   348  0.7    23  0.20  0.01   120
  62  0.755  0.722  48194  2.4e+14   616  1.2    95  0.08  0.01   316
  63  1.231  1.208  29177  2.5e+14   618  1.2    94  0.18  0.01   123
  64  0.908  1.114  33505  6.3e+13   390  0.8    32  0.40  0.01    98
  65  1.131  0.418  49590  5.7e+13   380  0.7    25  0.18  0.01   364
  66  0.032  0.439  23779  1.4e+14   511  1.0    70  0.29  0.01   109
  67  1.519  0.279  33734  7.1e+13   407  0.8    50  0.18  0.01   390
  68  0.613  0.045  48710  4.1e+14   735  1.4   138  0.06  0.01   414
  69  0.251  0.176  40593  2.2e+13   276  0.5    25  0.15  0.01   658
  70  0.196  0.669  26081  1.7e+14   539  1.1     0  0.62  0.01   115
  71  1.028  0.795  47610  2.0e+14   577  1.1    56  0.16  0.01   180
  72  0.596  0.864  43575  1.6e+13   247  0.5    13  0.95  0.02    78
  73  0.851  0.648  47416  4.3e+13   345  0.7    30  0.41  0.01   167
  74  0.550  0.035  28998  2.4e+14   614  1.2    62  0.27  0.01   190
  75  0.717  0.882  47047  9.5e+13   451  0.9    53  0.16  0.01   241
  76  0.823  0.475  22494  1.1e+14   468  0.9    55  0.15  0.01   159
  77  0.974  0.508  49598  7.0e+12   188  0.4     9  0.97  0.02   118
  78  1.560  1.100  45722  1.1e+14   480  0.9    39  0.25  0.01   107
  79  0.392  0.532  35558  9.7e+13   451  0.9    17  0.22  0.01   185
  80  0.452  0.626  48311  1.4e+14   508  1.0    55  0.25  0.01   245
  81  0.088  0.687  24734  7.3e+13   409  0.8    24  0.41  0.01    57
  82  0.629  0.660  36401  1.8e+14   552  1.1     4  0.62  0.01   105
  83  0.645  0.546  47947  1.2e+14   485  0.9    51  0.17  0.01   192
  84  0.650  1.439  34242  8.2e+13   426  0.8    45  0.44  0.01    75
  85  0.270  0.296  47824  5.1e+13   367  0.7    36  0.16  0.01   277
  86  1.190  0.956  12591  2.8e+14   640  1.3    77  0.21  0.01    99
  87  0.685  0.317  34541  1.1e+14   471  0.9    50  0.25  0.01   155
  88  0.580  0.200  26506  5.4e+13   370  0.7    17  0.26  0.01    78
  89  0.790  0.669  49527  2.0e+13   267  0.5    16  0.25  0.01   182
  90  0.629  0.172  43098     -1      -1   -1    -1    -1    -1   120
  91  0.725  1.186  32301  1.8e+14   559  1.1    65  0.24  0.01   141
  92  1.559  1.114  19878  2.1e+13   268  0.5    11  1.18  0.01    24
  93  0.940  0.430  35481  4.3e+13   343  0.7    13  0.80  0.01    95
  94  0.164  1.160  44934  3.1e+13   309  0.6    21  0.20  0.01   223
  95  0.763  0.027  37635  1.3e+14   504  1.0    59  0.17  0.01   172
  96  0.596  0.731  39827  9.2e+13   445  0.9    28  0.32  0.01   126
  97  1.183  0.608  49402  4.9e+13   362  0.7    29  0.45  0.01   129
  98  1.170  0.368  48957  1.9e+13   262  0.5    10  0.71  0.01   243
  99  1.455  0.065  45304  3.7e+13   330  0.6     4  0.67  0.01   205
 100  0.509  0.204  45654  8.8e+13   440  0.9    28  0.30  0.01   198
 101  0.267  0.289  42372  3.9e+13   335  0.7    16  0.31  0.01   106
 102  0.777  1.101  38933  1.9e+14   569  1.1    84  0.23  0.01   165
 103  0.079  0.935  45547  2.0e+14   580  1.1    49  0.17  0.01   150
 104  0.073  1.120  28139  3.2e+13   309  0.6    26  0.59  0.01    61
 105  0.245  0.426  48382  1.1e+14   471  0.9    57  0.31  0.01   181
 106  0.355  0.108  13274  4.1e+13   334  0.7    29  0.17  0.01    62
 107  1.402  0.453  30613  9.0e+13   440  0.9    34  0.43  0.01   139
 108  1.104  0.649  37559  4.3e+13   343  0.7    20  0.58  0.01    96
 109  1.100  0.913  46675  1.2e+14   487  0.9    65  0.19  0.01   174
 110  0.327  0.306  48581  1.7e+14   552  1.1    43  0.11  0.01   257
 111  0.727  1.233  29657  8.3e+13   427  0.9    19  0.27  0.01   142
 112  0.354  0.997  41468  1.6e+13   250  0.5    14  0.85  0.02   135
 113  1.522  0.441  30894  5.5e+13   372  0.7    30  0.27  0.01   112
 114  0.851  0.578  49058  6.7e+13   403  0.8    25  0.15  0.01   212
 115  1.067  0.726  43057  4.6e+13   354  0.7    17  0.42  0.01   105
 116  1.259  0.479  38755  2.1e+14   582  1.1    33  0.19  0.01   181
 117  1.132  0.074  32757  1.6e+13   245  0.5    16  0.33  0.02   128
 118  0.654  0.068  39643  1.3e+14   494  1.0    76  0.20  0.01   247
 119  0.523  0.498  33581  2.8e+13   297  0.6     6  0.72  0.01   201
 120  0.397  1.018  28180  1.5e+14   527  1.1    66  0.24  0.01   171
 121  0.668  0.292  45992  2.8e+13   300  0.6     0  0.77  0.01   137
 122  1.049  0.925  20111  1.5e+14   516  1.0    71  0.10  0.01   172
 123  1.370  0.870  47405  1.2e+14   487  0.9    46  0.18  0.01   168
 124  1.506  1.115  43607  1.1e+14   473  0.9    40  0.43  0.01   147
 125  0.546  0.031  19486  1.4e+14   504  1.0    34  0.53  0.01    57
 126  1.483  0.301  31949  4.4e+14   747  1.5   143  0.13  0.01   356
 127  1.450  0.291   7607  2.8e+13   292  0.6    11  1.24  0.01    16
 128  0.912  0.320  22032  6.1e+13   384  0.8    20  0.23  0.01    68
 129  1.540  0.242  43907     -1      -1   -1    -1    -1    -1   101
 130  0.861  0.115  41086  1.1e+13   221  0.4    10  0.71  0.02   358
 131  1.534  0.074  48808  1.2e+14   494  1.0    61  0.14  0.01   393
 132  0.747  0.384  35484  7.5e+13   415  0.8    26  0.30  0.01    63
 133  0.652  0.686  36608  2.4e+14   615  1.2    78  0.16  0.01   176
 134  1.223  0.710  25003  6.2e+13   387  0.8    33  0.44  0.01    89
 135  0.599  0.037  41848  3.2e+13   312  0.6    23  0.25  0.01   409
 136  0.868  0.126  46091     -1      -1   -1    -1    -1    -1   212
 137  1.330  0.141  45481  1.5e+14   522  1.0    40  0.43  0.01   157
 138  0.610  0.487  43610  6.1e+14   843  1.6   281  0.09  0.01   515
 139  1.133  0.029  44673  4.9e+13   361  0.7    25  0.33  0.01   169
 140  0.722  0.268  44244  2.3e+14   603  1.2    68  0.37  0.01   263
 141  1.340  0.679  43523  9.5e+13   450  0.9    44  0.31  0.01   189
 142  0.980  1.328  44127  1.1e+14   472  0.9    39  0.41  0.01    80
 143  1.390  0.147  44146  6.0e+13   386  0.8    18  0.37  0.01   220
 144  1.278  0.555  34008  5.5e+14   810  1.6   249  0.07  0.01   434
 145  1.536  0.331  32981  7.5e+13   415  0.8    35  0.55  0.01   133
 146  0.943  0.350  40861  9.5e+12   207  0.4     9  0.93  0.02   125
 147  0.572  1.124  31559  1.3e+14   497  1.0    63  0.22  0.01   163
 148  0.164  0.160  33150  1.5e+14   523  1.0    39  0.29  0.01   154
 149  0.349  0.098  35524     -1      -1   -1    -1    -1    -1    90
 150  1.291  0.169  46505  6.6e+13   399  0.8     0  0.67  0.01   140
 151  1.460  0.603  43195  1.0e+13   215  0.4    13  0.97  0.02    96
 152  1.126  0.452  48840  5.7e+13   381  0.7    22  0.22  0.01   114
 153  1.406  1.028  28158  4.2e+13   341  0.7    28  0.68  0.01    91
 154  0.860  0.131  40879  6.1e+13   387  0.8    20  0.27  0.01   395
 155  1.383  0.311  44567  1.0e+14   459  0.9    24  0.40  0.01   193
 156  1.506  0.127  46196  7.0e+12   188  0.4     0  1.08  0.02    70
 157  1.029  0.681  36504  8.6e+13   435  0.9    32  0.31  0.01    85
 158  0.956  0.565  34491  4.9e+13   359  0.7    27  0.81  0.01    82
 159  1.318  0.455  19407  8.1e+13   423  0.9    25  0.14  0.01    93
 160  0.659  0.026  30268  2.0e+13   266  0.5    10  0.88  0.01   107
 161  1.479  0.951  45166  9.6e+13   452  0.9    22  0.21  0.01   138
 162  0.577  0.253  25148  1.2e+13   221  0.4    10  0.93  0.02   123
 163  0.242  0.234  44033  3.5e+13   321  0.6    15  0.75  0.01   135
 164  1.191  0.507  29461  9.2e+13   442  0.9    15  0.60  0.01   186
 165  0.269  1.212  46458  1.4e+13   239  0.5    17  0.51  0.02    85
 166  0.768  1.030  30892  1.8e+14   553  1.1    49  0.31  0.01    90
 167  0.022  0.510  37428  1.1e+14   475  0.9    54  0.30  0.01   159
 168  0.415  0.516  36916  5.3e+13   369  0.7    19  0.22  0.01   260
 169  1.205  0.440  39658  2.8e+13   298  0.6    20  0.40  0.01    77
 170  0.680  0.966  12428     -1      -1   -1    -1    -1    -1    24
 171  0.783  0.827  41223     -1      -1   -1    -1    -1    -1   106
 172  0.267  1.187  48505  5.8e+13   383  0.7    38  0.30  0.01   106
 173  0.524  0.178  32243  4.5e+13   350  0.7    15  0.80  0.01    95
 174  1.116  0.411  49702  1.7e+14   548  1.1    70  0.10  0.01   511
 175  1.289  0.166  48439  1.0e+14   460  0.9    45  0.13  0.01   198
 176  1.527  0.476  34410  4.2e+14   737  1.5   147  0.14  0.01   335
 177  1.044  0.907  46748  8.4e+13   433  0.8    41  0.30  0.01   171
 178  0.249  0.278  45513  9.9e+13   457  0.9    18  0.16  0.01   546
 179  0.001  1.148  42419  1.2e+14   491  1.0    62  0.45  0.01   145
 180  1.242  0.655  25294  1.8e+13   253  0.5     0  1.01  0.02    60
 181  1.429  0.882  48533  7.9e+13   424  0.8    33  0.29  0.01   107
 182  1.284  0.078  39638  4.3e+13   345  0.7    24  0.32  0.01   153
 183  0.362  0.186  49487  9.3e+13   448  0.9    41  0.24  0.01   146
 184  0.563  0.923  49143  2.8e+13   298  0.6     0  0.86  0.01    86
 185  0.879  0.511  30264  2.5e+14   618  1.2    83  0.16  0.01   177
 186  0.936  1.104   2159  1.1e+13   216  0.4     6  1.58  0.02     6
 187  0.961  0.882  49888  2.4e+14   621  1.2   100  0.13  0.01   232
 188  0.032  0.878  41187  7.2e+13   409  0.8    45  0.26  0.01   166
 189  1.559  0.202  13027  1.6e+14   533  1.1    63  0.21  0.01    91
 190  0.874  0.113  24601  1.2e+14   485  1.0    24  0.34  0.01    98
 191  1.099  0.584  38947  1.4e+15  1113  2.2    31  0.06  0.00   200
 192  0.946  0.660  42980  2.6e+13   291  0.6    15  0.81  0.01   119
 193  0.804  0.418  45355  9.8e+12   210  0.4    12  0.81  0.02   229
 194  1.286  1.141  27945  1.8e+13   256  0.5    15  1.11  0.01    36
 195  0.823  0.590  46384     -1      -1   -1    -1    -1    -1    52
 196  0.774  0.381  45620  5.6e+13   378  0.7    21  0.19  0.01   322
 197  0.552  0.006  40879  7.0e+13   405  0.8    32  0.57  0.01    98
 198  0.899  0.420  32418  1.2e+14   480  1.0    38  0.23  0.01   191
 199  0.631  0.993  49319  3.5e+13   322  0.6    19  0.18  0.01   238
 200  1.417  1.250  29614  8.7e+13   435  0.9    30  0.32  0.01    74
 201  0.251  0.279  45509  2.3e+14   608  1.2   114  0.11  0.01   584
 202  0.542  0.185  31957  3.0e+13   305  0.6    11  0.89  0.01    77
 203  0.617  1.264  31142  7.8e+13   420  0.8    28  0.38  0.01    68
 204  1.363  0.520  41513  4.9e+13   359  0.7    18  0.65  0.01    89
 205  1.105  0.905  19074  1.1e+14   467  0.9    22  0.49  0.01    60
 206  0.546  0.649  49945  6.9e+13   405  0.8    19  0.33  0.01    59
 207  0.272  0.047  29275  3.7e+13   327  0.7     5  0.75  0.01   142
 208  0.591  0.489  43486  3.5e+12   148  0.3     5  0.96  0.02   202
 209  0.480  0.780  48445  1.5e+13   243  0.5     7  0.97  0.02    70
 210  0.167  0.220  39422  4.6e+10    35  0.1     2  1.64  0.03   143
 211  0.078  0.962  45777  1.9e+13   263  0.5    10  0.81  0.01   147
 212  1.210  1.030  12052  7.9e+13   417  0.9    20  0.51  0.01    31
 213  0.235  0.188  39470  2.3e+14   606  1.2    80  0.11  0.01   438
 214  0.325  0.595  40634  1.1e+14   469  0.9    69  0.20  0.01   304
 215  0.800  0.018  24008  3.7e+15  1529  3.0    36  0.04  0.01   266
 216  0.759  0.604  22283  2.9e+13   298  0.6    22  0.63  0.01    63
 217  0.017  0.905  31753  1.7e+14   547  1.1    70  0.23  0.01   141
 218  1.546  1.355  40743  4.6e+13   353  0.7    22  0.54  0.01    65
 219  0.078  0.966  38710  1.9e+13   261  0.5    14  1.02  0.01    50
 220  0.103  0.314  35542  1.9e+14   568  1.1    52  0.25  0.01   153
 221  0.201  0.116  35441  2.2e+14   594  1.2   116  0.16  0.01   292
 222  0.199  0.366  47089  2.9e+14   654  1.3    94  0.14  0.01   322
 223  0.834  0.178  28971  2.3e+14   601  1.2    91  0.22  0.01   176
 224  1.451  0.810  41277  3.4e+13   318  0.6    17  0.33  0.01    91
 225  0.458  1.286  33507  1.5e+13   241  0.5    12  1.13  0.02    35
 226  0.106  0.667  38716  1.5e+14   520  1.0    74  0.14  0.01   236
 227  1.098  0.249  49488  9.7e+13   455  0.9    42  0.14  0.01   193
 228  0.498  1.381  49194  3.4e+13   319  0.6    10  0.98  0.01    39
 229  1.418  1.187  46655  2.7e+13   297  0.6    23  0.45  0.01   119
 230  0.366  0.002  29297  6.7e+13   399  0.8    28  0.64  0.01    70
 231  1.432  0.144  43903  1.1e+13   217  0.4    15  0.83  0.02   193
 232  0.853  0.537  46237  3.5e+13   322  0.6    27  0.26  0.01   231
 233  0.367  0.488  43553  3.0e+13   307  0.6    17  0.31  0.01   107
 234  1.300  0.895  46446  2.1e+14   591  1.1   138  0.10  0.01   401
 235  0.824  1.472  48801  5.0e+13   363  0.7    38  0.31  0.01   102
 236  0.629  1.137  27862  5.1e+13   364  0.7    18  0.53  0.01    55
 237  1.210  0.211  36938  2.4e+14   616  1.2    96  0.17  0.01   306
 238  1.229  0.580   7827     -1      -1   -1    -1    -1    -1    37
 239  0.124  0.697  38617  7.0e+13   405  0.8    35  0.34  0.01   220
 240  0.595  0.933  11691  7.6e+13   412  0.8     9  1.00  0.01    27
 241  0.658  0.896  46633  5.7e+13   380  0.7    37  0.20  0.01   257
 242  0.873  0.757  46493  1.8e+13   256  0.5    14  0.94  0.01    76
 243  1.568  0.338  43568  1.0e+14   458  0.9    42  0.42  0.01   136
 244  0.356  0.995  47318  1.9e+13   263  0.5     8  0.88  0.01    99
 245  0.952  0.155  32922  2.5e+14   617  1.2   105  0.07  0.01   541
 246  0.777  0.567  25862  2.5e+12   131  0.3     8  1.42  0.02    31
 247  1.497  0.576  42360  1.6e+14   532  1.0    54  0.15  0.01   187
 248  0.209  0.078  48088  4.1e+13   340  0.7    22  0.22  0.01   264
 249  0.309  0.168  46891  2.6e+13   293  0.6    24  0.44  0.01   136
 250  0.692  0.682  35307  2.4e+13   284  0.6    25  0.42  0.01    90
 251  0.901  0.809  38654  4.5e+13   348  0.7    39  0.37  0.01   176
 252  0.806  0.354  46117  5.3e+13   371  0.7    14  0.54  0.01   346
 253  1.300  0.064  46868  5.1e+12   168  0.3     8  1.12  0.02    71
 254  1.422  1.098  48070  1.9e+13   261  0.5    15  0.66  0.01   331
 255  1.440  0.602  32251  3.2e+13   312  0.6    23  0.43  0.01   219
 256  0.846  0.365  31333  5.3e+13   367  0.7    29  0.35  0.01   259
 257  0.774  0.101  36229  2.1e+16  2755  5.4    20  0.04  0.01   213
 258  0.295  0.503  46753  3.2e+14   678  1.3    22  0.12  0.01   302
 259  0.215  0.742  46999  1.5e+13   243  0.5     9  0.89  0.02   108
 260  0.479  0.645  29807  8.0e+14   915  1.8   272  0.10  0.01   422
 261  0.514  0.451  39004  4.8e+13   357  0.7    34  0.37  0.01   278
 262  0.218  0.452  47044  1.2e+14   484  0.9    32  0.40  0.01   123
 263  0.895  0.772  26342  2.6e+13   290  0.6    13  0.91  0.01    77
 264  0.448  0.325  29927  2.0e+13   265  0.5    21  0.27  0.01   132
 265  0.779  0.642  34218  1.5e+13   239  0.5    10  0.96  0.02    83
 266  0.232  1.002  10827  4.6e+13   347  0.7    15  1.12  0.01    20
 267  0.581  0.625  40146  9.7e+13   453  0.9    41  0.41  0.01   139
 268  0.904  0.087  38554  1.8e+14   558  1.1    56  0.16  0.01   189
 269  1.147  0.540  36433  4.6e+13   351  0.7     0  0.80  0.01    91
 270  1.370  1.174  44616  1.4e+14   511  1.0    49  0.31  0.01   135
 271  1.054  0.045  32172  8.3e+13   428  0.9    21  0.16  0.01   235
 272  1.449  0.109  32964  2.1e+14   584  1.2    12  0.54  0.01   152
 273  0.826  0.768  46018  1.3e+14   495  1.0    33  0.22  0.01   221
 274  0.008  0.597  24615  1.4e+14   513  1.0    35  0.45  0.01    93
 275  0.598  0.021  12362  2.5e+13   283  0.6     8  1.09  0.01    36
 276  1.507  1.085  31400  6.8e+13   401  0.8    24  0.54  0.01    78
 277  0.459  0.322  35007  5.0e+13   362  0.7    25  0.38  0.01   109
 278  0.798  0.460  45812  3.3e+13   316  0.6    10  0.84  0.01    86
 279  0.290  0.994  28616     -1      -1   -1    -1    -1    -1    92
 280  0.825  0.553  15221  1.8e+14   551  1.1    38  0.22  0.01    72
 281  0.470  0.333  41600  9.7e+13   454  0.9    30  0.21  0.01   173
 282  0.473  0.980  22451  9.3e+13   443  0.9    12  0.99  0.01    23
 283  0.815  1.382  28058  8.6e+13   432  0.9    36  0.30  0.01    63
 284  0.859  0.015  18697  1.1e+14   465  0.9    32  0.42  0.01    69
 285  0.264  0.164  40807  2.9e+14   652  1.3   129  0.08  0.01   372
 286  1.202  0.504  42350  9.6e+13   452  0.9    36  0.23  0.01   167
 287  0.283  0.949  36355  9.5e+13   449  0.9    30  0.33  0.01   102
 288  1.153  0.458  47036  1.1e+14   476  0.9    17  0.35  0.01   114
 289  1.134  0.209  20944  4.2e+13   339  0.7    17  0.86  0.01    74
 290  0.742  0.586  36141  4.4e+13   347  0.7    19  0.36  0.01   128
 291  0.965  0.650  49101  2.6e+13   294  0.6     0  0.74  0.01   170
 292  0.701  0.502  38954  1.7e+14   548  1.1    63  0.20  0.01   129
 293  1.489  0.133  34393  4.9e+13   359  0.7    27  0.22  0.01   161
 294  0.210  0.687  26055  4.7e+14   764  1.5   203  0.09  0.01   333
 295  1.518  0.197  48997  7.3e+13   413  0.8    12  0.53  0.01   305
 296  1.562  0.160  44443  7.9e+13   424  0.8    15  0.56  0.01   245
 297  0.867  0.934  22510  1.0e+14   461  0.9    37  0.18  0.01    71
 298  0.156  0.691  28705  5.7e+13   376  0.8    22  0.25  0.01   104
 299  0.720  1.143  41966  1.3e+14   505  1.0    21  0.43  0.01    35
 300  0.211  1.171  45280     -1      -1   -1    -1    -1    -1   127
 301  0.773  0.101  40000  6.6e+13   399  0.8    51  0.18  0.01   248
 302  1.178  1.274  26094  7.2e+13   407  0.8    27  0.13  0.01   117
 303  1.300  1.321  24755  5.3e+13   367  0.7    16  0.23  0.01    55
 304  1.287  0.896  46565     -1      -1   -1    -1    -1    -1   264
 305  1.121  0.013  36733  5.5e+13   373  0.7    32  0.30  0.01   139
 306  0.132  0.243  38110  6.0e+13   385  0.8    28  0.16  0.01   326
 307  0.006  0.319  47803  6.1e+11    83  0.2     3  1.28  0.03   129
 308  1.539  0.119  44154  1.2e+14   490  1.0    46  0.18  0.01   287
 309  1.360  1.001  40634  1.4e+13   236  0.5    12  0.99  0.02    70
 310  0.408  0.248  46680  6.8e+13   403  0.8    43  0.29  0.01   318
 311  0.629  0.017  22933  1.6e+13   243  0.5    14  1.03  0.02    60
 312  1.563  0.531  40786  1.2e+14   481  0.9    45  0.14  0.01   133
 313  0.448  0.480  37966  9.8e+13   453  0.9    11  0.71  0.01    91
 314  0.391  0.674  29839     -1      -1   -1    -1    -1    -1   144
 315  0.005  1.092  44865  1.2e+14   484  0.9    45  0.50  0.01   130
 316  0.688  1.217  32473  4.6e+13   351  0.7    19  0.61  0.01   121
 317  0.729  0.768  35098  2.0e+14   577  1.1    61  0.39  0.01   143
 318  0.546  0.788  42403  4.7e+13   356  0.7    19  0.38  0.01   171
 319  0.394  0.037  37883  7.1e+13   408  0.8    20  0.36  0.01   217
 320  0.426  0.547  46267  1.0e+14   463  0.9    45  0.14  0.01   216
 321  0.193  0.750  25188  3.0e+13   304  0.6    14  1.05  0.01    35
 322  1.363  1.509  44466  2.5e+13   289  0.6    30  0.42  0.01    37
 323  0.599  1.080  43154  1.5e+14   520  1.0    57  0.30  0.01   118
 324  0.930  0.772  39172  3.1e+13   308  0.6    23  0.48  0.01   110
 325  0.365  1.379  11847  1.1e+14   461  0.9    27  0.15  0.01    32
 326  1.046  0.401  47452  2.3e+13   282  0.6    11  0.75  0.01   170
 327  0.958  0.188  33922  7.9e+13   421  0.8    28  0.29  0.01   186
 328  0.139  0.692  44359  4.0e+13   337  0.7    20  0.29  0.01   253
 329  0.082  1.116  45267  5.9e+13   384  0.7    29  0.30  0.01    93
 330  0.155  1.145  44892  2.5e+14   623  1.2   137  0.18  0.01   221
 331  0.795  0.092  42057  1.2e+12   105  0.2     4  1.01  0.02   326
 332  1.367  0.898  45214  1.2e+14   490  1.0    47  0.36  0.01   203
 333  0.221  0.194  39513  3.5e+13   320  0.6    14  0.54  0.01   507
 334  0.284  0.531  45857  2.7e+13   294  0.6    20  0.20  0.01   340
 335  0.501  1.296  48744  3.8e+13   333  0.6    13  0.95  0.01    42
 336  1.076  0.772  44101  1.3e+14   506  1.0    44  0.23  0.01   170
 337  0.951  0.417  44378  2.5e+13   287  0.6    19  0.57  0.01   152
 338  0.036  0.427  30312  1.7e+14   547  1.1    38  0.16  0.01   156
 339  1.355  1.257  24419  1.3e+14   492  1.0    42  0.30  0.01    92
 340  0.317  0.214  40953  4.1e+13   339  0.7     0  0.73  0.01   141
 341  0.021  0.724  27314  5.4e+13   370  0.7    25  0.22  0.01    80
 342  0.374  0.359  34461  2.3e+14   605  1.2    67  0.20  0.01   197
 343  0.133  0.325  33588  2.7e+13   295  0.6     0  1.00  0.01    44
 344  1.453  0.061  45379  2.2e+13   274  0.5    10  0.75  0.01   186
 345  1.168  0.254  49582     -1      -1   -1    -1    -1    -1   206
 346  0.450  1.133  46002  1.6e+13   247  0.5    12  0.93  0.02    87
 347  0.146  0.641  34967  8.2e+13   426  0.8    24  0.28  0.01   104
 348  0.420  0.973  33324  1.2e+14   479  0.9    44  0.28  0.01   118
 349  0.631  0.763  38559  8.1e+13   426  0.8    31  0.27  0.01   111
 350  1.542  0.178  46490  1.3e+13   230  0.4    13  0.67  0.02   410
 351  0.277  0.971  29166  3.2e+13   309  0.6     0  0.85  0.01    92
 352  1.316  1.337  36190  6.3e+13   390  0.8    16  0.40  0.01    45
 353  0.839  0.151  30486  6.0e+13   383  0.8     0  0.73  0.01   118
 354  0.394  0.089  37039     -1      -1   -1    -1    -1    -1   143
 355  1.105  0.466  24943  6.3e+13   390  0.8    18  0.26  0.01    71
 356  0.930  0.941  42750  2.9e+13   304  0.6    17  0.40  0.01    97
 357  1.056  0.662  44543  1.4e+13   236  0.5    14  1.01  0.02    64
 358  1.456  0.884  29891  2.7e+13   294  0.6    12  1.04  0.01    38
